PayoutRef,AcquirerRef,GrossValue,Charges,ChargesTax,PayoutValue,PayoutDate,CurrencyCode,PayoutBatch
APR-SET-0008,APR-PAY-0008,2755,48.21,8.68,2698.11,2026-04-04T13:04:00.000Z,INR,SET-202604-03
APR-SET-0072,APR-PAY-0072,2080,36.4,6.55,2037.05,2026-04-30T14:02:00.000Z,INR,SET-202604-01
APR-SET-0073,APR-PAY-0073,2900,50.75,9.14,2840.11,2026-04-09T11:06:00.000Z,INR,SET-202604-04
APR-SET-0049,APR-PAY-0049,640,11.2,2.02,626.78,2026-04-09T14:10:00.000Z,INR,SET-202604-04
APR-SET-0016,APR-PAY-0016,280,4.9,0.88,274.22,2026-04-14T13:57:00.000Z,INR,SET-202604-01
APR-SET-0036,APR-PAY-0036,5575,97.56,17.56,5459.88,2026-04-28T12:37:00.000Z,INR,SET-202604-03
APR-SET-0026,APR-PAY-0026,3975,69.56,12.52,3892.92,2026-04-28T14:32:00.000Z,INR,SET-202604-03
APR-SET-0035,APR-PAY-0035,6155,107.71,19.39,6027.9,2026-04-12T15:40:00.000Z,INR,SET-202604-03
APR-SET-0047,APR-PAY-0047,3715,65.01,11.7,3638.29,2026-04-14T14:48:00.000Z,INR,SET-202604-01
APR-SET-0017,APR-PAY-0017,4530,79.28,14.27,4436.45,2026-04-06T13:59:00.000Z,INR,SET-202604-01
APR-SET-0006,APR-PAY-0006,6670,116.73,21.01,6532.26,2026-04-09T11:53:00.000Z,INR,SET-202604-04
APR-SET-0084,APR-PAY-0084,3925,68.69,12.36,3843.95,2026-04-09T14:01:00.000Z,INR,SET-202604-04
APR-SET-0018,APR-PAY-0018,3940,68.95,12.41,3858.64,2026-04-17T12:57:00.000Z,INR,SET-202604-04
APR-SET-0005,APR-PAY-0005,4875,85.31,15.36,4774.33,2026-04-21T13:24:00.000Z,INR,SET-202604-04
APR-SET-0081,APR-PAY-0081,2700,47.25,8.5,2644.25,2026-04-06T12:30:00.000Z,INR,SET-202604-01
APR-SET-0063,APR-PAY-0063,6330,110.78,19.94,6199.28,2026-05-01T14:23:00.000Z,INR,SET-202604-02
APR-SET-0082,APR-PAY-0082,4980,87.15,15.69,4877.16,2026-04-11T12:03:00.000Z,INR,SET-202604-02
APR-SET-0080,APR-PAY-0080,5910,103.43,18.62,5787.95,2026-04-04T15:23:00.000Z,INR,SET-202604-03
APR-SET-0057,APR-PAY-0057,5140,89.95,16.19,5033.86,2026-04-18T12:40:00.000Z,INR,SET-202604-01
APR-SET-0054,APR-PAY-0054,3610,63.18,11.37,3535.45,2026-04-14T14:28:00.000Z,INR,SET-202604-01
APR-SET-0021,APR-PAY-0021,6340,110.95,19.97,6209.08,2026-04-08T15:21:00.000Z,INR,SET-202604-03
APR-SET-0055,APR-PAY-0055,5365,93.89,16.9,5254.21,2026-04-05T15:52:00.000Z,INR,SET-202604-04
APR-SET-0075,APR-PAY-0075,1130,19.78,3.56,1106.66,2026-04-14T11:34:00.000Z,INR,SET-202604-01
APR-SET-0070,APR-PAY-0070,6475,113.31,20.4,6341.29,2026-04-09T14:58:00.000Z,INR,SET-202604-04
APR-SET-0039,APR-PAY-0039,855,14.96,2.69,837.35,2026-04-12T13:58:00.000Z,INR,SET-202604-03
APR-SET-0024,APR-PAY-0024,4490,78.58,14.14,4397.28,2026-05-02T14:08:00.000Z,INR,SET-202604-03
APR-SET-0033,APR-PAY-0033,1410,24.68,4.44,1380.88,2026-04-08T14:53:00.000Z,INR,SET-202604-03
APR-SET-0044,APR-PAY-0044,6140,107.45,19.34,6013.21,2026-04-11T15:28:00.000Z,INR,SET-202604-02
APR-SET-0083,APR-PAY-0083,5925,103.69,18.66,5802.65,2026-04-24T13:20:00.000Z,INR,SET-202604-03
APR-SET-0037,APR-PAY-0037,2570,44.98,8.1,2516.92,2026-04-10T13:09:00.000Z,INR,SET-202604-01
APR-SET-0052,APR-PAY-0052,5185,90.74,16.33,5077.93,2026-04-05T11:01:00.000Z,INR,SET-202604-04
APR-SET-0031,APR-PAY-0031,1295,22.66,4.08,1268.26,2026-04-17T15:15:00.000Z,INR,SET-202604-04
APR-SET-0027,APR-PAY-0027,6710,117.43,21.14,6571.43,2026-04-11T14:04:00.000Z,INR,SET-202604-02
APR-SET-0078,APR-PAY-0078,5555,97.21,17.5,5440.29,2026-04-07T11:07:00.000Z,INR,SET-202604-02
APR-SET-0045,APR-PAY-0045,4055,70.96,12.77,3971.27,2026-04-03T15:03:00.000Z,INR,SET-202604-02
APR-SET-0076,APR-PAY-0076,6670,116.73,21.01,6532.26,2026-04-10T15:00:00.000Z,INR,SET-202604-01
APR-SET-0020,APR-PAY-0020,3755,65.71,11.83,3677.46,2026-04-24T11:04:00.000Z,INR,SET-202604-03
APR-SET-0013,APR-PAY-0013,1910,33.43,6.02,1870.55,2026-05-02T14:54:00.000Z,INR,SET-202604-03
APR-SET-0079,APR-PAY-0079,3505,61.34,11.04,3432.62,2026-04-25T14:36:00.000Z,INR,SET-202604-04
APR-SET-0059,APR-PAY-0059,2400,42,7.56,2350.44,2026-05-01T15:55:00.000Z,INR,SET-202604-02
APR-SET-0064,APR-PAY-0064,6660,116.55,20.98,6522.47,2026-04-17T13:52:00.000Z,INR,SET-202604-04
APR-SET-0060,APR-PAY-0060,3320,58.1,10.46,3251.44,2026-05-01T11:04:00.000Z,INR,SET-202604-02
APR-SET-0046,APR-PAY-0046,6500,113.75,20.47,6365.78,2026-04-13T11:07:00.000Z,INR,SET-202604-04
APR-SET-0061,APR-PAY-0061,2315,40.51,7.29,2267.2,2026-04-04T13:18:00.000Z,INR,SET-202604-03
APR-SET-0074,APR-PAY-0074,3750,65.63,11.81,3672.56,2026-04-26T13:38:00.000Z,INR,SET-202604-01
APR-SET-0025,APR-PAY-0025,3665,64.14,11.55,3589.31,2026-04-14T13:19:00.000Z,INR,SET-202604-01
APR-SET-0056,APR-PAY-0056,1905,33.34,6,1865.66,2026-04-19T14:25:00.000Z,INR,SET-202604-02
APR-SET-0043,APR-PAY-0043,1530,26.78,4.82,1498.4,2026-04-25T15:46:00.000Z,INR,SET-202604-04
APR-SET-0069,APR-PAY-0069,495,8.66,1.56,484.78,2026-04-14T11:46:00.000Z,INR,SET-202604-01
APR-SET-0028,APR-PAY-0028,3505,61.34,11.04,3432.62,2026-04-26T11:44:00.000Z,INR,SET-202604-01
APR-SET-0048,APR-PAY-0048,5775,101.06,18.19,5655.75,2026-04-20T11:46:00.000Z,INR,SET-202604-03
APR-SET-0010,APR-PAY-0010,4775,83.56,15.04,4676.4,2026-04-14T13:52:00.000Z,INR,SET-202604-01
APR-SET-0050,APR-PAY-0050,2115,37.01,6.66,2071.33,2026-04-18T13:20:00.000Z,INR,SET-202604-01
APR-SET-0065,APR-PAY-0065,2025,35.44,6.38,1983.18,2026-04-13T15:50:00.000Z,INR,SET-202604-04
APR-SET-0040,APR-PAY-0040,5035,88.11,15.86,4931.03,2026-04-30T12:13:00.000Z,INR,SET-202604-01
APR-SET-0002,APR-PAY-0002,6020,105.35,18.96,5895.69,2026-05-02T11:39:00.000Z,INR,SET-202604-03
APR-SET-0077,APR-PAY-0077,5880,102.9,18.52,5758.58,2026-04-06T14:42:00.000Z,INR,SET-202604-01
APR-SET-0030,APR-PAY-0030,5240,91.7,16.51,5131.79,2026-04-09T12:09:00.000Z,INR,SET-202604-04
APR-SET-0066,APR-PAY-0066,5695,99.66,17.94,5577.4,2026-04-15T12:54:00.000Z,INR,SET-202604-02
APR-SET-0032,APR-PAY-0032,3870,67.73,12.19,3790.08,2026-04-08T15:08:00.000Z,INR,SET-202604-03
APR-SET-0062,APR-PAY-0062,6490,113.58,20.44,6355.98,2026-04-08T13:40:00.000Z,INR,SET-202604-03
APR-SET-0023,APR-PAY-0023,2355,41.21,7.42,2306.37,2026-04-25T12:07:00.000Z,INR,SET-202604-04
APR-SET-0029,APR-PAY-0029,960,16.8,3.02,940.18,2026-04-14T13:39:00.000Z,INR,SET-202604-01
APR-SET-0058,APR-PAY-0058,1425,24.94,4.49,1395.57,2026-04-28T11:26:00.000Z,INR,SET-202604-03
APR-SET-0011,APR-PAY-0011,2245,39.29,7.07,2198.64,2026-04-15T12:18:00.000Z,INR,SET-202604-02
APR-SET-0022,APR-PAY-0022,6585,115.24,20.74,6449.02,2026-05-02T14:51:00.000Z,INR,SET-202604-03
APR-SET-0012,APR-PAY-0012,5775,101.06,18.19,5655.75,2026-04-15T14:04:00.000Z,INR,SET-202604-02
APR-SET-0053,APR-PAY-0053,2730,47.78,8.6,2673.62,2026-04-17T11:46:00.000Z,INR,SET-202604-04
APR-SET-0042,APR-PAY-0042,1410,24.68,4.44,1380.88,2026-05-01T15:14:00.000Z,INR,SET-202604-02
APR-SET-0071,APR-PAY-0071,4725,82.69,14.88,4627.43,2026-04-11T14:24:00.000Z,INR,SET-202604-01
APR-SET-0038,APR-PAY-0038,5980,104.65,18.84,5856.51,2026-04-17T11:31:00.000Z,INR,SET-202604-04
APR-SET-0067,APR-PAY-0067,4030,70.53,12.7,3946.77,2026-04-17T14:08:00.000Z,INR,SET-202604-04
APR-SET-0009,APR-PAY-0009,2235,39.11,7.04,2188.85,2026-04-13T13:33:00.000Z,INR,SET-202604-04
APR-SET-0041,APR-PAY-0041,3025,52.94,9.53,2962.53,2026-04-30T15:31:00.000Z,INR,SET-202604-01
APR-SET-0014,APR-PAY-0014,6370,111.48,20.07,6238.45,2026-04-25T15:52:00.000Z,INR,SET-202604-04
APR-SET-0003,APR-PAY-0003,2455,42.96,7.73,2404.31,2026-04-23T11:20:00.000Z,INR,SET-202604-02
APR-SET-0034,APR-PAY-0034,3615,63.26,11.39,3540.35,2026-04-26T12:29:00.000Z,INR,SET-202604-01
APR-SET-0007,APR-PAY-0007,1165,20.39,3.67,1140.94,2026-04-15T13:42:00.000Z,INR,SET-202604-02
APR-SET-0051,APR-PAY-0051,5925,103.69,18.66,5802.65,2026-04-19T14:48:00.000Z,INR,SET-202604-02
APR-SET-0019,APR-PAY-0019,1595,27.91,5.02,1562.07,2026-04-13T11:20:00.000Z,INR,SET-202604-04
APR-SET-0068,APR-PAY-0068,2865,50.14,9.03,2805.83,2026-04-08T14:49:00.000Z,INR,SET-202604-03
APR-SET-0004,APR-PAY-0004,1035,18.11,3.26,1013.63,2026-05-02T13:45:00.000Z,INR,SET-202604-03
APR-SET-0001,APR-PAY-0001,5260,92.05,16.57,5151.38,2026-04-20T11:31:00.000Z,INR,SET-202604-03
APR-SET-0015,APR-PAY-0015,3610,63.18,11.37,3535.45,2026-04-21T15:13:00.000Z,INR,SET-202604-04
