OrderNumber,OutletCode,NetSale,OrderCreated,CurrencyCode,OutletName,Device,Notes
APR-ORD-0044,CHE-A03,6140,2026-04-09T15:28:00.000Z,INR,Adyar,CHE-A03-T3,
APR-ORD-0027,CHE-A04,6710,2026-04-09T14:04:00.000Z,INR,Velachery,CHE-A04-T1,
APR-ORD-0067,BLR-A05,4030,2026-04-15T14:08:00.000Z,INR,HSR Layout,BLR-A05-T2,
APR-ORD-0021,CHE-A03,6340,2026-04-06T15:21:00.000Z,INR,Adyar,CHE-A03-T2,late-evening sale
APR-ORD-0029,CHE-A03,960,2026-04-12T13:39:00.000Z,INR,Adyar,CHE-A03-T2,
APR-ORD-0048,BLR-A05,5775,2026-04-18T11:46:00.000Z,INR,HSR Layout,BLR-A05-T4,
APR-ORD-0014,CHE-A04,6370,2026-04-23T15:52:00.000Z,INR,Velachery,CHE-A04-T3,late-evening sale
APR-ORD-0075,HYD-A02,1130,2026-04-12T11:34:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0045,CHE-A04,4055,2026-04-01T15:03:00.000Z,INR,Velachery,CHE-A04-T4,
APR-ORD-0077,CHE-A04,5880,2026-04-04T14:42:00.000Z,INR,Velachery,CHE-A04-T4,late-evening sale
APR-ORD-0068,BLR-A05,2865,2026-04-06T14:49:00.000Z,INR,HSR Layout,BLR-A05-T4,
APR-ORD-0063,HYD-A01,6330,2026-04-29T14:23:00.000Z,INR,Banjara Hills,HYD-A01-T4,late-evening sale
APR-ORD-0010,HYD-A02,4775,2026-04-12T13:52:00.000Z,INR,Hitech City,HYD-A02-T2,
APR-ORD-0084,BLR-A05,3925,2026-04-07T14:01:00.000Z,INR,HSR Layout,BLR-A05-T1,late-evening sale
APR-ORD-0009,BLR-A05,2235,2026-04-11T13:33:00.000Z,INR,HSR Layout,BLR-A05-T1,
APR-ORD-0060,CHE-A04,3320,2026-04-29T11:04:00.000Z,INR,Velachery,CHE-A04-T2,
APR-ORD-0082,CHE-A03,4980,2026-04-09T12:03:00.000Z,INR,Adyar,CHE-A03-T2,
APR-ORD-0081,CHE-A04,2700,2026-04-04T12:30:00.000Z,INR,Velachery,CHE-A04-T3,
APR-ORD-0041,HYD-A01,3025,2026-04-28T15:31:00.000Z,INR,Banjara Hills,HYD-A01-T2,
APR-ORD-0046,HYD-A02,6500,2026-04-11T11:07:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0013,CHE-A04,1910,2026-04-30T14:54:00.000Z,INR,Velachery,CHE-A04-T3,
APR-ORD-0066,HYD-A01,5695,2026-04-13T12:54:00.000Z,INR,Banjara Hills,HYD-A01-T2,
APR-ORD-0050,HYD-A02,2115,2026-04-16T13:20:00.000Z,INR,Hitech City,HYD-A02-T1,
APR-ORD-0018,HYD-A02,3940,2026-04-15T12:57:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0039,HYD-A01,855,2026-04-10T13:58:00.000Z,INR,Banjara Hills,HYD-A01-T4,
APR-ORD-0028,BLR-A05,3505,2026-04-24T11:44:00.000Z,INR,HSR Layout,BLR-A05-T3,late-evening sale
APR-ORD-0052,HYD-A01,5185,2026-04-03T11:01:00.000Z,INR,Banjara Hills,HYD-A01-T3,
APR-ORD-0020,CHE-A03,3755,2026-04-22T11:04:00.000Z,INR,Adyar,CHE-A03-T4,
APR-ORD-0055,CHE-A03,5365,2026-04-03T15:52:00.000Z,INR,Adyar,CHE-A03-T4,
APR-ORD-0059,BLR-A05,2400,2026-04-29T15:55:00.000Z,INR,HSR Layout,BLR-A05-T3,
APR-ORD-0007,CHE-A03,1165,2026-04-13T13:42:00.000Z,INR,Adyar,CHE-A03-T3,late-evening sale
APR-ORD-0058,CHE-A03,1425,2026-04-26T11:26:00.000Z,INR,Adyar,CHE-A03-T4,
APR-ORD-0026,CHE-A03,3975,2026-04-26T14:32:00.000Z,INR,Adyar,CHE-A03-T2,
APR-ORD-0057,HYD-A01,5140,2026-04-16T12:40:00.000Z,INR,Banjara Hills,HYD-A01-T2,
APR-ORD-0004,HYD-A01,1035,2026-04-30T13:45:00.000Z,INR,Banjara Hills,HYD-A01-T4,
APR-ORD-0076,HYD-A02,6670,2026-04-08T15:00:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0040,CHE-A04,5035,2026-04-28T12:13:00.000Z,INR,Velachery,CHE-A04-T3,
APR-ORD-0030,HYD-A01,5240,2026-04-07T12:09:00.000Z,INR,Banjara Hills,HYD-A01-T4,
APR-ORD-0078,HYD-A02,5555,2026-04-05T11:07:00.000Z,INR,Hitech City,HYD-A02-T1,
APR-ORD-0025,HYD-A01,3665,2026-04-12T13:19:00.000Z,INR,Banjara Hills,HYD-A01-T3,
APR-ORD-0033,CHE-A03,1410,2026-04-06T14:53:00.000Z,INR,Adyar,CHE-A03-T3,
APR-ORD-0070,BLR-A05,6475,2026-04-07T14:58:00.000Z,INR,HSR Layout,BLR-A05-T3,late-evening sale
APR-ORD-0065,HYD-A01,2025,2026-04-11T15:50:00.000Z,INR,Banjara Hills,HYD-A01-T1,
APR-ORD-0012,BLR-A05,5775,2026-04-13T14:04:00.000Z,INR,HSR Layout,BLR-A05-T1,
APR-ORD-0053,HYD-A02,2730,2026-04-15T11:46:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0061,BLR-A05,2315,2026-04-02T13:18:00.000Z,INR,HSR Layout,BLR-A05-T3,
APR-ORD-0017,CHE-A04,4530,2026-04-04T13:59:00.000Z,INR,Velachery,CHE-A04-T4,
APR-ORD-0022,BLR-A05,6585,2026-04-30T14:51:00.000Z,INR,HSR Layout,BLR-A05-T1,
APR-ORD-0016,HYD-A02,280,2026-04-12T13:57:00.000Z,INR,Hitech City,HYD-A02-T3,
APR-ORD-0042,CHE-A03,1410,2026-04-29T15:14:00.000Z,INR,Adyar,CHE-A03-T2,late-evening sale
APR-ORD-0043,HYD-A01,1530,2026-04-23T15:46:00.000Z,INR,Banjara Hills,HYD-A01-T1,
APR-ORD-0051,HYD-A01,5925,2026-04-17T14:48:00.000Z,INR,Banjara Hills,HYD-A01-T4,
APR-ORD-0069,HYD-A01,495,2026-04-12T11:46:00.000Z,INR,Banjara Hills,HYD-A01-T4,
APR-ORD-0073,HYD-A01,2900,2026-04-07T11:06:00.000Z,INR,Banjara Hills,HYD-A01-T4,
APR-ORD-0062,CHE-A04,6490,2026-04-06T13:40:00.000Z,INR,Velachery,CHE-A04-T4,
APR-ORD-0015,CHE-A03,3610,2026-04-19T15:13:00.000Z,INR,Adyar,CHE-A03-T4,
APR-ORD-0032,HYD-A01,3870,2026-04-06T15:08:00.000Z,INR,Banjara Hills,HYD-A01-T3,
APR-ORD-0049,BLR-A05,640,2026-04-07T14:10:00.000Z,INR,HSR Layout,BLR-A05-T2,late-evening sale
APR-ORD-0006,CHE-A03,6670,2026-04-07T11:53:00.000Z,INR,Adyar,CHE-A03-T3,
APR-ORD-0036,HYD-A01,5575,2026-04-26T12:37:00.000Z,INR,Banjara Hills,HYD-A01-T3,
APR-ORD-0074,CHE-A04,3750,2026-04-24T13:38:00.000Z,INR,Velachery,CHE-A04-T2,
APR-ORD-0019,HYD-A02,1595,2026-04-11T11:20:00.000Z,INR,Hitech City,HYD-A02-T2,
APR-ORD-0031,HYD-A01,1295,2026-04-15T15:15:00.000Z,INR,Banjara Hills,HYD-A01-T3,
APR-ORD-0047,HYD-A01,3715,2026-04-12T14:48:00.000Z,INR,Banjara Hills,HYD-A01-T2,
APR-ORD-0005,CHE-A03,4875,2026-04-19T13:24:00.000Z,INR,Adyar,CHE-A03-T4,
APR-ORD-0035,CHE-A04,6155,2026-04-10T15:40:00.000Z,INR,Velachery,CHE-A04-T4,late-evening sale
APR-ORD-0054,CHE-A04,3610,2026-04-12T14:28:00.000Z,INR,Velachery,CHE-A04-T1,
APR-ORD-0034,HYD-A01,3615,2026-04-24T12:29:00.000Z,INR,Banjara Hills,HYD-A01-T2,
APR-ORD-0038,BLR-A05,5980,2026-04-15T11:31:00.000Z,INR,HSR Layout,BLR-A05-T2,
APR-ORD-0056,CHE-A03,1905,2026-04-17T14:25:00.000Z,INR,Adyar,CHE-A03-T2,late-evening sale
APR-ORD-0064,CHE-A04,6660,2026-04-15T13:52:00.000Z,INR,Velachery,CHE-A04-T1,
APR-ORD-0011,HYD-A02,2245,2026-04-13T12:18:00.000Z,INR,Hitech City,HYD-A02-T3,
APR-ORD-0072,CHE-A04,2080,2026-04-28T14:02:00.000Z,INR,Velachery,CHE-A04-T4,
APR-ORD-0037,HYD-A02,2570,2026-04-08T13:09:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0024,HYD-A02,4490,2026-04-30T14:08:00.000Z,INR,Hitech City,HYD-A02-T3,
APR-ORD-0023,BLR-A05,2355,2026-04-23T12:07:00.000Z,INR,HSR Layout,BLR-A05-T1,
APR-ORD-0008,BLR-A05,2755,2026-04-02T13:04:00.000Z,INR,HSR Layout,BLR-A05-T1,
APR-ORD-0003,BLR-A05,2455,2026-04-21T11:20:00.000Z,INR,HSR Layout,BLR-A05-T4,
APR-ORD-0001,CHE-A04,5260,2026-04-18T11:31:00.000Z,INR,Velachery,CHE-A04-T1,
APR-ORD-0080,CHE-A03,5910,2026-04-02T15:23:00.000Z,INR,Adyar,CHE-A03-T3,
APR-ORD-0071,BLR-A05,4725,2026-04-04T14:24:00.000Z,INR,HSR Layout,BLR-A05-T2,
APR-ORD-0079,HYD-A01,3505,2026-04-23T14:36:00.000Z,INR,Banjara Hills,HYD-A01-T2,
APR-ORD-0002,HYD-A02,6020,2026-04-30T11:39:00.000Z,INR,Hitech City,HYD-A02-T4,
APR-ORD-0083,BLR-A05,5925,2026-04-22T13:20:00.000Z,INR,HSR Layout,BLR-A05-T1,
