LogReference,OperatorID,SubjectType,SubjectRef,ActionType,ActionTimestamp,OutletCode,Shift
APR-ACT-0050,EMP-A-26,ORDER,APR-ORD-0050,ORDER_CONFIRMED,2026-04-16T13:20:00.000Z,HYD-A02,PM
APR-ACT-0013,EMP-A-93,ORDER,APR-ORD-0013,ORDER_CONFIRMED,2026-04-30T14:54:00.000Z,CHE-A04,PM
APR-ACT-0014,EMP-A-37,ORDER,APR-ORD-0014,ORDER_CONFIRMED,2026-04-23T15:52:00.000Z,CHE-A04,PM
APR-ACT-0033,EMP-A-99,ORDER,APR-ORD-0033,ORDER_CONFIRMED,2026-04-06T14:53:00.000Z,CHE-A03,PM
APR-ACT-0006,EMP-A-69,ORDER,APR-ORD-0006,ORDER_CONFIRMED,2026-04-07T11:53:00.000Z,CHE-A03,PM
APR-ACT-0077,EMP-A-20,ORDER,APR-ORD-0077,ORDER_CONFIRMED,2026-04-04T14:42:00.000Z,CHE-A04,PM
APR-ACT-0082,EMP-A-69,ORDER,APR-ORD-0082,ORDER_CONFIRMED,2026-04-09T12:03:00.000Z,CHE-A03,PM
APR-ACT-0036,EMP-A-83,ORDER,APR-ORD-0036,ORDER_CONFIRMED,2026-04-26T12:37:00.000Z,HYD-A01,PM
APR-ACT-0019,EMP-A-62,ORDER,APR-ORD-0019,ORDER_CONFIRMED,2026-04-11T11:20:00.000Z,HYD-A02,PM
APR-ACT-0004,EMP-A-32,ORDER,APR-ORD-0004,ORDER_CONFIRMED,2026-04-30T13:45:00.000Z,HYD-A01,PM
APR-ACT-0060,EMP-A-64,ORDER,APR-ORD-0060,ORDER_CONFIRMED,2026-04-29T11:04:00.000Z,CHE-A04,PM
APR-ACT-0054,EMP-A-64,ORDER,APR-ORD-0054,ORDER_CONFIRMED,2026-04-12T14:28:00.000Z,CHE-A04,PM
APR-ACT-0016,EMP-A-30,ORDER,APR-ORD-0016,ORDER_CONFIRMED,2026-04-12T13:57:00.000Z,HYD-A02,PM
APR-ACT-0075,EMP-A-63,ORDER,APR-ORD-0075,ORDER_CONFIRMED,2026-04-12T11:34:00.000Z,HYD-A02,PM
APR-ACT-0037,EMP-A-86,ORDER,APR-ORD-0037,ORDER_CONFIRMED,2026-04-08T13:09:00.000Z,HYD-A02,PM
APR-ACT-0066,EMP-A-56,ORDER,APR-ORD-0066,ORDER_CONFIRMED,2026-04-13T12:54:00.000Z,HYD-A01,PM
APR-ACT-0063,EMP-A-96,ORDER,APR-ORD-0063,ORDER_CONFIRMED,2026-04-29T14:23:00.000Z,HYD-A01,PM
APR-ACT-0040,EMP-A-40,ORDER,APR-ORD-0040,ORDER_CONFIRMED,2026-04-28T12:13:00.000Z,CHE-A04,PM
APR-ACT-0018,EMP-A-70,ORDER,APR-ORD-0018,ORDER_CONFIRMED,2026-04-15T12:57:00.000Z,HYD-A02,PM
APR-ACT-0022,EMP-A-36,ORDER,APR-ORD-0022,ORDER_CONFIRMED,2026-04-30T14:51:00.000Z,BLR-A05,PM
APR-ACT-0002,EMP-A-12,ORDER,APR-ORD-0002,ORDER_CONFIRMED,2026-04-30T11:39:00.000Z,HYD-A02,PM
APR-ACT-0044,EMP-A-68,ORDER,APR-ORD-0044,ORDER_CONFIRMED,2026-04-09T15:28:00.000Z,CHE-A03,PM
APR-ACT-0003,EMP-A-78,ORDER,APR-ORD-0003,ORDER_CONFIRMED,2026-04-21T11:20:00.000Z,BLR-A05,PM
APR-ACT-0073,EMP-A-65,ORDER,APR-ORD-0073,ORDER_CONFIRMED,2026-04-07T11:06:00.000Z,HYD-A01,PM
APR-ACT-R0026,EMP-A-62,REFUND,APR-REF-0026,REFUND_APPROVED,2026-04-27T14:32:00.000Z,CHE-A03,PM
