InvoiceID,OrderID,InvoiceAmount,IssuedAt,Currency,InvoiceType,Status
AUG-INV-0014,AUG-ORD-0014,5700,2026-08-10T17:26:00.000Z,INR,SALE,ACTIVE
AUG-INV-0055,AUG-ORD-0055,11800,2026-08-16T14:15:00.000Z,INR,SALE,ACTIVE
AUG-INV-0032,AUG-ORD-0032,21600,2026-08-26T15:06:00.000Z,INR,SALE,ACTIVE
AUG-INV-0059,AUG-ORD-0059,10200,2026-08-10T15:51:00.000Z,INR,SALE,ACTIVE
AUG-INV-0008,AUG-ORD-0008,11700,2026-08-10T14:47:00.000Z,INR,SALE,ACTIVE
AUG-INV-0018,AUG-ORD-0018,7200,2026-08-13T18:59:00.000Z,INR,SALE,ACTIVE
AUG-INV-0019,AUG-ORD-0019,4200,2026-08-05T14:10:00.000Z,INR,SALE,ACTIVE
AUG-INV-0007,AUG-ORD-0007,19700,2026-08-06T15:59:00.000Z,INR,SALE,ACTIVE
AUG-INV-0065,AUG-ORD-0065,13600,2026-08-02T17:28:00.000Z,INR,SALE,ACTIVE
AUG-INV-0042,AUG-ORD-0042,20800,2026-08-20T17:01:00.000Z,INR,SALE,ACTIVE
AUG-INV-0031,AUG-ORD-0031,20700,2026-08-16T18:19:00.000Z,INR,SALE,ACTIVE
AUG-INV-0064,AUG-ORD-0064,18300,2026-08-03T16:01:00.000Z,INR,SALE,ACTIVE
AUG-INV-0052,AUG-ORD-0052,8900,2026-08-13T17:38:00.000Z,INR,SALE,ACTIVE
AUG-INV-0012,AUG-ORD-0012,18500,2026-08-23T15:31:00.000Z,INR,SALE,ACTIVE
AUG-INV-0013,AUG-ORD-0013,2400,2026-08-20T14:23:00.000Z,INR,SALE,ACTIVE
AUG-INV-0050,AUG-ORD-0050,2600,2026-08-02T15:00:00.000Z,INR,SALE,ACTIVE
AUG-INV-0016,AUG-ORD-0016,20000,2026-08-30T15:30:00.000Z,INR,SALE,ACTIVE
AUG-INV-0068,AUG-ORD-0068,11100,2026-08-14T17:36:00.000Z,INR,SALE,ACTIVE
AUG-INV-0022,AUG-ORD-0022,2300,2026-08-28T16:56:00.000Z,INR,SALE,ACTIVE
AUG-INV-0070,AUG-ORD-0070,13200,2026-08-07T15:48:00.000Z,INR,SALE,ACTIVE
AUG-INV-0039,AUG-ORD-0039,15900,2026-08-21T18:46:00.000Z,INR,SALE,ACTIVE
AUG-INV-0045,AUG-ORD-0045,20700,2026-08-01T14:50:00.000Z,INR,SALE,ACTIVE
AUG-INV-0038,AUG-ORD-0038,10700,2026-08-20T14:48:00.000Z,INR,SALE,ACTIVE
AUG-INV-0023,AUG-ORD-0023,1300,2026-08-10T16:02:00.000Z,INR,SALE,ACTIVE
AUG-INV-0060,AUG-ORD-0060,21000,2026-08-08T15:20:00.000Z,INR,SALE,ACTIVE
AUG-INV-0026,AUG-ORD-0026,21800,2026-08-05T14:48:00.000Z,INR,SALE,ACTIVE
AUG-INV-0015,AUG-ORD-0015,18800,2026-08-06T15:18:00.000Z,INR,SALE,ACTIVE
AUG-INV-0011,AUG-ORD-0011,1500,2026-08-15T14:31:00.000Z,INR,SALE,ACTIVE
AUG-INV-0063,AUG-ORD-0063,20500,2026-08-08T15:51:00.000Z,INR,SALE,ACTIVE
AUG-INV-0006,AUG-ORD-0006,10600,2026-08-22T17:48:00.000Z,INR,SALE,ACTIVE
AUG-INV-0053,AUG-ORD-0053,14800,2026-08-17T16:51:00.000Z,INR,SALE,ACTIVE
AUG-INV-R0070,AUG-ORD-0070,-13200,2026-08-13T15:48:00.000Z,INR,REVERSAL,REVERSED
AUG-INV-0009,AUG-ORD-0009,10500,2026-08-03T15:33:00.000Z,INR,SALE,ACTIVE
AUG-INV-0010,AUG-ORD-0010,3700,2026-08-24T17:41:00.000Z,INR,SALE,ACTIVE
AUG-INV-0049,AUG-ORD-0049,15900,2026-08-03T17:23:00.000Z,INR,SALE,ACTIVE
AUG-INV-0043,AUG-ORD-0043,9300,2026-08-12T16:52:00.000Z,INR,SALE,ACTIVE
AUG-INV-0066,AUG-ORD-0066,13900,2026-08-18T16:59:00.000Z,INR,SALE,ACTIVE
AUG-INV-0003,AUG-ORD-0003,20500,2026-08-13T16:00:00.000Z,INR,SALE,ACTIVE
AUG-INV-0051,AUG-ORD-0051,14100,2026-08-16T15:17:00.000Z,INR,SALE,ACTIVE
AUG-INV-R0055,AUG-ORD-0055,-11800,2026-08-20T14:15:00.000Z,INR,REVERSAL,REVERSED
AUG-INV-0054,AUG-ORD-0054,15300,2026-08-06T14:43:00.000Z,INR,SALE,ACTIVE
AUG-INV-0029,AUG-ORD-0029,14800,2026-08-31T14:57:00.000Z,INR,SALE,ACTIVE
AUG-INV-0017,AUG-ORD-0017,8700,2026-08-22T17:12:00.000Z,INR,SALE,ACTIVE
AUG-INV-0056,AUG-ORD-0056,5100,2026-08-30T14:48:00.000Z,INR,SALE,ACTIVE
AUG-INV-0067,AUG-ORD-0067,1300,2026-08-04T16:18:00.000Z,INR,SALE,ACTIVE
AUG-INV-0027,AUG-ORD-0027,20800,2026-08-16T14:51:00.000Z,INR,SALE,ACTIVE
AUG-INV-0020,AUG-ORD-0020,6400,2026-08-11T14:07:00.000Z,INR,SALE,ACTIVE
AUG-INV-0024,AUG-ORD-0024,20500,2026-08-14T17:10:00.000Z,INR,SALE,ACTIVE
AUG-INV-0028,AUG-ORD-0028,16100,2026-08-21T15:16:00.000Z,INR,SALE,ACTIVE
AUG-INV-0041,AUG-ORD-0041,4000,2026-08-28T16:09:00.000Z,INR,SALE,ACTIVE
AUG-INV-0040,AUG-ORD-0040,4900,2026-08-28T15:17:00.000Z,INR,SALE,ACTIVE
AUG-INV-0058,AUG-ORD-0058,8700,2026-08-09T18:57:00.000Z,INR,SALE,ACTIVE
AUG-INV-0057,AUG-ORD-0057,2000,2026-08-06T14:53:00.000Z,INR,SALE,ACTIVE
AUG-INV-0030,AUG-ORD-0030,11800,2026-08-04T18:45:00.000Z,INR,SALE,ACTIVE
AUG-INV-0061,AUG-ORD-0061,15800,2026-08-30T15:25:00.000Z,INR,SALE,ACTIVE
AUG-INV-0035,AUG-ORD-0035,11100,2026-08-12T15:38:00.000Z,INR,SALE,ACTIVE
AUG-INV-0046,AUG-ORD-0046,14700,2026-08-14T15:34:00.000Z,INR,SALE,ACTIVE
AUG-INV-0047,AUG-ORD-0047,17700,2026-08-06T14:10:00.000Z,INR,SALE,ACTIVE
AUG-INV-0048,AUG-ORD-0048,12200,2026-08-24T16:42:00.000Z,INR,SALE,ACTIVE
AUG-INV-0001,AUG-ORD-0001,6100,2026-08-27T14:59:00.000Z,INR,SALE,ACTIVE
AUG-INV-0062,AUG-ORD-0062,3800,2026-08-13T16:01:00.000Z,INR,SALE,ACTIVE
AUG-INV-0034,AUG-ORD-0034,14500,2026-08-29T17:40:00.000Z,INR,SALE,ACTIVE
AUG-INV-0036,AUG-ORD-0036,3200,2026-08-11T17:57:00.000Z,INR,SALE,ACTIVE
AUG-INV-0021,AUG-ORD-0021,18300,2026-08-05T17:41:00.000Z,INR,SALE,ACTIVE
AUG-INV-0044,AUG-ORD-0044,16100,2026-08-16T15:46:00.000Z,INR,SALE,ACTIVE
AUG-INV-0002,AUG-ORD-0002,16300,2026-08-22T16:22:00.000Z,INR,SALE,ACTIVE
AUG-INV-0033,AUG-ORD-0033,2800,2026-08-08T17:35:00.000Z,INR,SALE,ACTIVE
AUG-INV-0025,AUG-ORD-0025,7200,2026-08-09T15:34:00.000Z,INR,SALE,ACTIVE
AUG-INV-0004,AUG-ORD-0004,8100,2026-08-30T14:29:00.000Z,INR,SALE,ACTIVE
AUG-INV-R0065,AUG-ORD-0065,-13600,2026-08-10T17:28:00.000Z,INR,REVERSAL,REVERSED
AUG-INV-R0014,AUG-ORD-0014,-5700,2026-08-16T17:26:00.000Z,INR,REVERSAL,REVERSED
AUG-INV-0037,AUG-ORD-0037,3700,2026-08-27T14:06:00.000Z,INR,SALE,ACTIVE
AUG-INV-0069,AUG-ORD-0069,9300,2026-08-04T15:05:00.000Z,INR,SALE,ACTIVE
AUG-INV-0005,AUG-ORD-0005,17500,2026-08-21T16:43:00.000Z,INR,SALE,ACTIVE
