MovementID,OrderID,MovementType,Quantity,SKU,UnitCost,InventoryValue,OccurredAt,Currency,SKUDescription
AUG-MOV-0026,AUG-ORD-0026,SALE,1,SKU-AU-261,10246,10246,2026-08-05T14:48:00.000Z,INR,Sellable item
AUG-MOV-0004,AUG-ORD-0004,SALE,1,SKU-AU-755,2349,2349,2026-08-30T14:29:00.000Z,INR,Sellable item
AUG-MOV-0034,AUG-ORD-0034,SALE,1,SKU-AU-638,6815,6815,2026-08-29T17:40:00.000Z,INR,Sellable item
AUG-MOV-0050,AUG-ORD-0050,SALE,1,SKU-AU-623,754,754,2026-08-02T15:00:00.000Z,INR,Sellable item
AUG-MOV-0018,AUG-ORD-0018,SALE,1,SKU-AU-815,1728,1728,2026-08-13T18:59:00.000Z,INR,Sellable item
AUG-MOV-R0055,AUG-ORD-0055,RETURN,1,SKU-AU-295,3422,3422,2026-08-20T14:15:00.000Z,INR,Returned item
AUG-MOV-0062,AUG-ORD-0062,SALE,1,SKU-AU-334,1558,1558,2026-08-13T16:01:00.000Z,INR,Sellable item
AUG-MOV-0010,AUG-ORD-0010,SALE,1,SKU-AU-528,1258,1258,2026-08-24T17:41:00.000Z,INR,Sellable item
AUG-MOV-0057,AUG-ORD-0057,SALE,1,SKU-AU-704,580,580,2026-08-06T14:53:00.000Z,INR,Sellable item
AUG-MOV-0028,AUG-ORD-0028,SALE,1,SKU-AU-321,4669,4669,2026-08-21T15:16:00.000Z,INR,Sellable item
AUG-MOV-0005,AUG-ORD-0005,SALE,1,SKU-AU-315,5075,5075,2026-08-21T16:43:00.000Z,INR,Sellable item
AUG-MOV-0067,AUG-ORD-0067,SALE,1,SKU-AU-268,377,377,2026-08-04T16:18:00.000Z,INR,Sellable item
AUG-MOV-0054,AUG-ORD-0054,SALE,1,SKU-AU-579,5202,5202,2026-08-06T14:43:00.000Z,INR,Sellable item
AUG-MOV-0021,AUG-ORD-0021,SALE,1,SKU-AU-985,7503,7503,2026-08-05T17:41:00.000Z,INR,Sellable item
AUG-MOV-0059,AUG-ORD-0059,SALE,1,SKU-AU-682,2448,2448,2026-08-10T15:51:00.000Z,INR,Sellable item
AUG-MOV-0052,AUG-ORD-0052,SALE,1,SKU-AU-284,4183,4183,2026-08-13T17:38:00.000Z,INR,Sellable item
AUG-MOV-0025,AUG-ORD-0025,SALE,1,SKU-AU-251,2088,2088,2026-08-09T15:34:00.000Z,INR,Sellable item
AUG-MOV-0045,AUG-ORD-0045,SALE,1,SKU-AU-622,6003,6003,2026-08-01T14:50:00.000Z,INR,Sellable item
AUG-MOV-0053,AUG-ORD-0053,SALE,1,SKU-AU-401,5032,5032,2026-08-17T16:51:00.000Z,INR,Sellable item
AUG-MOV-0051,AUG-ORD-0051,SALE,1,SKU-AU-816,6627,6627,2026-08-16T15:17:00.000Z,INR,Sellable item
AUG-MOV-0068,AUG-ORD-0068,SALE,1,SKU-AU-545,2664,2664,2026-08-14T17:36:00.000Z,INR,Sellable item
AUG-MOV-0058,AUG-ORD-0058,SALE,1,SKU-AU-726,2088,2088,2026-08-09T18:57:00.000Z,INR,Sellable item
AUG-MOV-0049,AUG-ORD-0049,SALE,1,SKU-AU-653,5406,5406,2026-08-03T17:23:00.000Z,INR,Sellable item
AUG-MOV-0015,AUG-ORD-0015,SALE,1,SKU-AU-492,6392,6392,2026-08-06T15:18:00.000Z,INR,Sellable item
AUG-MOV-0036,AUG-ORD-0036,SALE,1,SKU-AU-621,1088,1088,2026-08-11T17:57:00.000Z,INR,Sellable item
AUG-MOV-0069,AUG-ORD-0069,SALE,1,SKU-AU-402,2232,2232,2026-08-04T15:05:00.000Z,INR,Sellable item
AUG-MOV-0014,AUG-ORD-0014,SALE,1,SKU-AU-885,2337,2337,2026-08-10T17:26:00.000Z,INR,Sellable item
AUG-MOV-0064,AUG-ORD-0064,SALE,1,SKU-AU-286,7503,7503,2026-08-03T16:01:00.000Z,INR,Sellable item
AUG-MOV-0035,AUG-ORD-0035,SALE,1,SKU-AU-677,4551,4551,2026-08-12T15:38:00.000Z,INR,Sellable item
AUG-MOV-0043,AUG-ORD-0043,SALE,1,SKU-AU-704,4371,4371,2026-08-12T16:52:00.000Z,INR,Sellable item
AUG-MOV-0047,AUG-ORD-0047,SALE,1,SKU-AU-405,8319,8319,2026-08-06T14:10:00.000Z,INR,Sellable item
AUG-MOV-R0014,AUG-ORD-0014,RETURN,1,SKU-AU-885,2337,2337,2026-08-16T17:26:00.000Z,INR,Returned item
AUG-MOV-0017,AUG-ORD-0017,SALE,1,SKU-AU-837,2958,2958,2026-08-22T17:12:00.000Z,INR,Sellable item
AUG-MOV-0012,AUG-ORD-0012,SALE,1,SKU-AU-887,4440,4440,2026-08-23T15:31:00.000Z,INR,Sellable item
AUG-MOV-0046,AUG-ORD-0046,SALE,1,SKU-AU-495,4998,4998,2026-08-14T15:34:00.000Z,INR,Sellable item
AUG-MOV-0040,AUG-ORD-0040,SALE,1,SKU-AU-203,2303,2303,2026-08-28T15:17:00.000Z,INR,Sellable item
AUG-MOV-0031,AUG-ORD-0031,SALE,1,SKU-AU-100,9729,9729,2026-08-16T18:19:00.000Z,INR,Sellable item
AUG-MOV-0006,AUG-ORD-0006,SALE,1,SKU-AU-530,3604,3604,2026-08-22T17:48:00.000Z,INR,Sellable item
AUG-MOV-0048,AUG-ORD-0048,SALE,1,SKU-AU-500,3538,3538,2026-08-24T16:42:00.000Z,INR,Sellable item
AUG-MOV-0002,AUG-ORD-0002,SALE,1,SKU-AU-783,4727,4727,2026-08-22T16:22:00.000Z,INR,Sellable item
AUG-MOV-0029,AUG-ORD-0029,SALE,1,SKU-AU-449,6956,6956,2026-08-31T14:57:00.000Z,INR,Sellable item
AUG-MOV-0007,AUG-ORD-0007,SALE,1,SKU-AU-751,5713,5713,2026-08-06T15:59:00.000Z,INR,Sellable item
AUG-MOV-0044,AUG-ORD-0044,SALE,1,SKU-AU-429,3864,3864,2026-08-16T15:46:00.000Z,INR,Sellable item
AUG-MOV-0023,AUG-ORD-0023,SALE,1,SKU-AU-680,533,533,2026-08-10T16:02:00.000Z,INR,Sellable item
AUG-MOV-0060,AUG-ORD-0060,SALE,1,SKU-AU-625,6090,6090,2026-08-08T15:20:00.000Z,INR,Sellable item
AUG-MOV-0070,AUG-ORD-0070,SALE,1,SKU-AU-442,3828,3828,2026-08-07T15:48:00.000Z,INR,Sellable item
AUG-MOV-0056,AUG-ORD-0056,SALE,1,SKU-AU-534,1734,1734,2026-08-30T14:48:00.000Z,INR,Sellable item
AUG-MOV-0030,AUG-ORD-0030,SALE,1,SKU-AU-923,3422,3422,2026-08-04T18:45:00.000Z,INR,Sellable item
AUG-MOV-0020,AUG-ORD-0020,SALE,1,SKU-AU-618,3008,3008,2026-08-11T14:07:00.000Z,INR,Sellable item
AUG-MOV-0011,AUG-ORD-0011,SALE,1,SKU-AU-816,510,510,2026-08-15T14:31:00.000Z,INR,Sellable item
AUG-MOV-0038,AUG-ORD-0038,SALE,1,SKU-AU-418,4387,4387,2026-08-20T14:48:00.000Z,INR,Sellable item
