PaymentID,OrderID,CapturedAmount,CapturedAt,Currency,GatewayFee,Method,Response
AUG-PAY-0052,AUG-ORD-0052,8900,2026-08-13T17:38:00.000Z,INR,164.65,NETBANKING,00
AUG-PAY-0063,AUG-ORD-0063,20500,2026-08-08T15:51:00.000Z,INR,379.25,NETBANKING,00
AUG-PAY-0031,AUG-ORD-0031,20700,2026-08-16T18:19:00.000Z,INR,382.95,CARD,00
PAY-AMB-August_2026-0037,AUG-ORD-0037,3700,2026-08-27T14:06:45.000Z,INR,68.45,NETBANKING,00
AUG-PAY-0022,AUG-ORD-0022,2300,2026-08-28T16:56:00.000Z,INR,42.55,UPI,00
AUG-PAY-0007,AUG-ORD-0007,19700,2026-08-06T15:59:00.000Z,INR,364.45,UPI,00
AUG-PAY-0030,AUG-ORD-0030,11800,2026-08-04T18:45:00.000Z,INR,218.3,NETBANKING,00
AUG-PAY-0015,AUG-ORD-0015,18800,2026-08-06T15:18:00.000Z,INR,347.8,NETBANKING,00
AUG-PAY-0016,AUG-ORD-0016,20000,2026-08-30T15:30:00.000Z,INR,370,UPI,00
AUG-PAY-0013,AUG-ORD-0013,2400,2026-08-20T14:23:00.000Z,INR,44.4,WALLET,00
AUG-PAY-0069,AUG-ORD-0069,9300,2026-08-04T15:05:00.000Z,INR,172.05,UPI,00
AUG-PAY-0011,AUG-ORD-0011,1500,2026-08-15T14:31:00.000Z,INR,27.75,CARD,00
AUG-PAY-0049,AUG-ORD-0049,15900,2026-08-03T17:23:00.000Z,INR,294.15,NETBANKING,00
AUG-PAY-0033,AUG-ORD-0033,2800,2026-08-08T17:35:00.000Z,INR,51.8,WALLET,00
AUG-PAY-0012,AUG-ORD-0012,18500,2026-08-23T15:31:00.000Z,INR,342.25,UPI,00
AUG-PAY-0020,AUG-ORD-0020,6400,2026-08-11T14:07:00.000Z,INR,118.4,UPI,00
AUG-PAY-0003,AUG-ORD-0003,20500,2026-08-13T16:00:00.000Z,INR,379.25,CARD,00
AUG-PAY-0018,AUG-ORD-0018,7200,2026-08-13T18:59:00.000Z,INR,133.2,NETBANKING,00
AUG-PAY-0066,AUG-ORD-0066,13900,2026-08-18T16:59:00.000Z,INR,257.15,UPI,00
AUG-PAY-0036,AUG-ORD-0036,3200,2026-08-11T17:57:00.000Z,INR,59.2,WALLET,00
AUG-PAY-0057,AUG-ORD-0057,2000,2026-08-06T14:53:00.000Z,INR,37,CARD,00
AUG-PAY-0050,AUG-ORD-0050,2600,2026-08-02T15:00:00.000Z,INR,48.1,UPI,00
AUG-PAY-0061,AUG-ORD-0061,15800,2026-08-30T15:25:00.000Z,INR,292.3,WALLET,00
AUG-PAY-0067,AUG-ORD-0067,1300,2026-08-04T16:18:00.000Z,INR,24.05,CARD,00
AUG-PAY-0010,AUG-ORD-0010,3700,2026-08-24T17:41:00.000Z,INR,68.45,CARD,00
AUG-PAY-0041,AUG-ORD-0041,4000,2026-08-28T16:09:00.000Z,INR,74,NETBANKING,00
AUG-PAY-0006,AUG-ORD-0006,10600,2026-08-22T17:48:00.000Z,INR,196.1,NETBANKING,00
AUG-PAY-0047,AUG-ORD-0047,17700,2026-08-06T14:10:00.000Z,INR,327.45,NETBANKING,00
AUG-PAY-0070,AUG-ORD-0070,13200,2026-08-07T15:48:00.000Z,INR,244.2,WALLET,00
AUG-PAY-0008,AUG-ORD-0008,11700,2026-08-10T14:47:00.000Z,INR,216.45,UPI,00
AUG-PAY-0009,AUG-ORD-0009,10500,2026-08-03T15:33:00.000Z,INR,194.25,NETBANKING,00
AUG-PAY-0054,AUG-ORD-0054,15300,2026-08-06T14:43:00.000Z,INR,283.05,CARD,00
AUG-PAY-0040,AUG-ORD-0040,4900,2026-08-28T15:17:00.000Z,INR,90.65,CARD,00
AUG-PAY-0065,AUG-ORD-0065,13600,2026-08-02T17:28:00.000Z,INR,251.6,NETBANKING,00
AUG-PAY-0062,AUG-ORD-0062,3800,2026-08-13T16:01:00.000Z,INR,70.3,UPI,00
AUG-PAY-0048,AUG-ORD-0048,12200,2026-08-24T16:42:00.000Z,INR,225.7,WALLET,00
AUG-PAY-0053,AUG-ORD-0053,14800,2026-08-17T16:51:00.000Z,INR,273.8,UPI,00
AUG-PAY-0051,AUG-ORD-0051,14100,2026-08-16T15:17:00.000Z,INR,260.85,UPI,00
AUG-PAY-0028,AUG-ORD-0028,16100,2026-08-21T15:16:00.000Z,INR,297.85,WALLET,00
AUG-PAY-0017,AUG-ORD-0017,8700,2026-08-22T17:12:00.000Z,INR,160.95,CARD,00
AUG-PAY-0044,AUG-ORD-0044,16100,2026-08-16T15:46:00.000Z,INR,297.85,WALLET,00
AUG-PAY-0024,AUG-ORD-0024,20500,2026-08-14T17:10:00.000Z,INR,379.25,CARD,00
AUG-PAY-0026,AUG-ORD-0026,21800,2026-08-05T14:48:00.000Z,INR,403.3,NETBANKING,00
AUG-PAY-0019,AUG-ORD-0019,4200,2026-08-05T14:10:00.000Z,INR,77.7,CARD,00
AUG-PAY-0023,AUG-ORD-0023,1300,2026-08-10T16:02:00.000Z,INR,24.05,NETBANKING,00
AUG-PAY-0027,AUG-ORD-0027,20800,2026-08-16T14:51:00.000Z,INR,384.8,UPI,00
AUG-PAY-0039,AUG-ORD-0039,15900,2026-08-21T18:46:00.000Z,INR,294.15,NETBANKING,00
AUG-PAY-0038,AUG-ORD-0038,10700,2026-08-20T14:48:00.000Z,INR,197.95,CARD,00
AUG-PAY-0056,AUG-ORD-0056,5100,2026-08-30T14:48:00.000Z,INR,94.35,CARD,00
AUG-PAY-0055,AUG-ORD-0055,11800,2026-08-16T14:15:00.000Z,INR,218.3,WALLET,00
AUG-PAY-0029,AUG-ORD-0029,14800,2026-08-31T14:57:00.000Z,INR,273.8,CARD,00
AUG-PAY-0059,AUG-ORD-0059,10200,2026-08-10T15:51:00.000Z,INR,188.7,NETBANKING,00
AUG-PAY-0058,AUG-ORD-0058,8700,2026-08-09T18:57:00.000Z,INR,160.95,CARD,00
AUG-PAY-0043,AUG-ORD-0043,9300,2026-08-12T16:52:00.000Z,INR,172.05,WALLET,00
AUG-PAY-0045,AUG-ORD-0045,20700,2026-08-01T14:50:00.000Z,INR,382.95,NETBANKING,00
AUG-PAY-0046,AUG-ORD-0046,14700,2026-08-14T15:34:00.000Z,INR,271.95,UPI,00
AUG-PAY-0001,AUG-ORD-0001,6100,2026-08-27T14:59:00.000Z,INR,112.85,UPI,00
AUG-PAY-0060,AUG-ORD-0060,21000,2026-08-08T15:20:00.000Z,INR,388.5,WALLET,00
AUG-PAY-0034,AUG-ORD-0034,14500,2026-08-29T17:40:00.000Z,INR,268.25,NETBANKING,00
AUG-PAY-0035,AUG-ORD-0035,11100,2026-08-12T15:38:00.000Z,INR,205.35,NETBANKING,00
AUG-PAY-0021,AUG-ORD-0021,18300,2026-08-05T17:41:00.000Z,INR,338.55,UPI,00
AUG-PAY-0042,AUG-ORD-0042,20800,2026-08-20T17:01:00.000Z,INR,384.8,WALLET,00
AUG-PAY-0002,AUG-ORD-0002,16300,2026-08-22T16:22:00.000Z,INR,301.55,NETBANKING,00
AUG-PAY-0032,AUG-ORD-0032,21600,2026-08-26T15:06:00.000Z,INR,399.6,WALLET,00
AUG-PAY-0025,AUG-ORD-0025,7200,2026-08-09T15:34:00.000Z,INR,133.2,CARD,00
AUG-PAY-0004,AUG-ORD-0004,8100,2026-08-30T14:29:00.000Z,INR,149.85,WALLET,00
AUG-PAY-0064,AUG-ORD-0064,18300,2026-08-03T16:01:00.000Z,INR,338.55,UPI,00
AUG-PAY-0014,AUG-ORD-0014,5700,2026-08-10T17:26:00.000Z,INR,105.45,CARD,00
AUG-PAY-0037,AUG-ORD-0037,3700,2026-08-27T14:06:00.000Z,INR,68.45,NETBANKING,00
AUG-PAY-0068,AUG-ORD-0068,11100,2026-08-14T17:36:00.000Z,INR,205.35,WALLET,00
AUG-PAY-0005,AUG-ORD-0005,17500,2026-08-21T16:43:00.000Z,INR,323.75,WALLET,00
