BankCreditRef,PaymentRef,GrossPaid,FeeCharged,FeeTax,NetPaid,SettlementDate,Currency,SourceBatch
FEB-SET-0039,FEB-PAY-0039,5700,119.7,21.55,5558.75,2026-02-09T09:53:00.000Z,INR,SET-202602-04
FEB-SET-0026,FEB-PAY-0026,4000,84,15.12,3900.88,2026-02-05T12:04:00.000Z,INR,SET-202602-04
FEB-SET-0031,FEB-PAY-0031,7725,162.23,29.2,7533.57,2026-02-26T12:59:00.000Z,INR,SET-202602-01
FEB-SET-0053,FEB-PAY-0053,9700,203.7,36.67,9459.63,2026-03-01T12:00:00.000Z,INR,SET-202602-04
FEB-SET-0051,FEB-PAY-0051,1775,37.28,6.71,1731.01,2026-02-15T09:05:00.000Z,INR,SET-202602-02
FEB-SET-0055,FEB-PAY-0055,6975,146.48,26.37,6802.15,2026-02-11T09:18:00.000Z,INR,SET-202602-02
FEB-SET-0047,FEB-PAY-0047,6550,137.55,24.76,6387.69,2026-02-10T09:24:00.000Z,INR,SET-202602-01
FEB-SET-0073,FEB-PAY-0073,4200,88.2,15.88,4095.92,2026-02-18T10:41:00.000Z,INR,SET-202602-01
FEB-SET-0007,FEB-PAY-0007,7725,162.23,29.2,7533.57,2026-02-15T11:50:00.000Z,INR,SET-202602-02
FEB-SET-0010,FEB-PAY-0010,1200,25.2,4.54,1170.26,2026-02-07T10:04:00.000Z,INR,SET-202602-02
FEB-SET-0045,FEB-PAY-0045,6750,141.75,25.52,6582.73,2026-02-03T11:06:00.000Z,INR,SET-202602-02
FEB-SET-0069,FEB-PAY-0069,1125,23.63,4.25,1097.12,2026-02-14T12:22:00.000Z,INR,SET-202602-01
FEB-SET-0059,FEB-PAY-0059,6450,135.45,24.38,6290.17,2026-02-24T11:56:00.000Z,INR,SET-202602-03
FEB-SET-0035,FEB-PAY-0035,900,18.9,3.4,877.7,2026-02-08T11:43:00.000Z,INR,SET-202602-03
FEB-SET-0063,FEB-PAY-0063,2475,51.98,9.36,2413.66,2026-02-27T12:28:00.000Z,INR,SET-202602-02
FEB-SET-0027,FEB-PAY-0027,7000,147,26.46,6826.54,2026-02-28T13:07:00.000Z,INR,SET-202602-03
FEB-SET-0012,FEB-PAY-0012,4950,103.95,18.71,4827.34,2026-02-04T13:42:00.000Z,INR,SET-202602-03
FEB-SET-0006,FEB-PAY-0006,3050,64.05,11.53,2974.42,2026-03-01T10:12:00.000Z,INR,SET-202602-04
FEB-SET-0037,FEB-PAY-0037,5050,106.05,19.09,4924.86,2026-02-14T13:49:00.000Z,INR,SET-202602-01
FEB-SET-0018,FEB-PAY-0018,6725,141.23,25.42,6558.35,2026-02-15T13:52:00.000Z,INR,SET-202602-02
FEB-SET-0064,FEB-PAY-0064,7500,157.5,28.35,7314.15,2026-02-15T11:15:00.000Z,INR,SET-202602-02
FEB-SET-0036,FEB-PAY-0036,950,19.95,3.59,926.46,2026-02-22T10:46:00.000Z,INR,SET-202602-01
FEB-SET-0017,FEB-PAY-0017,400,8.4,1.51,390.09,2026-02-28T10:57:00.000Z,INR,SET-202602-03
FEB-SET-0033,FEB-PAY-0033,7100,149.1,26.84,6924.06,2026-02-28T11:20:00.000Z,INR,SET-202602-03
FEB-SET-0072,FEB-PAY-0072,3025,63.53,11.44,2950.03,2026-02-25T10:50:00.000Z,INR,SET-202602-04
FEB-SET-0034,FEB-PAY-0034,4100,86.1,15.5,3998.4,2026-02-26T13:04:00.000Z,INR,SET-202602-01
FEB-SET-0067,FEB-PAY-0067,3650,76.65,13.8,3559.55,2026-02-27T13:48:00.000Z,INR,SET-202602-02
FEB-SET-0014,FEB-PAY-0014,600,12.6,2.27,585.13,2026-02-18T09:39:00.000Z,INR,SET-202602-01
FEB-SET-0061,FEB-PAY-0061,6950,145.95,26.27,6777.78,2026-02-15T13:05:00.000Z,INR,SET-202602-02
FEB-SET-0074,FEB-PAY-0074,1050,22.05,3.97,1023.98,2026-02-10T09:43:00.000Z,INR,SET-202602-01
FEB-SET-0048,FEB-PAY-0048,9450,198.45,35.72,9215.83,2026-02-26T11:16:00.000Z,INR,SET-202602-01
FEB-SET-0044,FEB-PAY-0044,8350,175.35,31.56,8143.09,2026-02-06T09:34:00.000Z,INR,SET-202602-01
FEB-SET-0021,FEB-PAY-0021,2450,51.45,9.26,2389.29,2026-02-09T11:05:00.000Z,INR,SET-202602-04
FEB-SET-0022,FEB-PAY-0022,8425,176.93,31.85,8216.22,2026-02-18T12:17:00.000Z,INR,SET-202602-01
FEB-SET-0038,FEB-PAY-0038,6650,139.65,25.14,6485.21,2026-02-15T13:29:00.000Z,INR,SET-202602-02
FEB-SET-0054,FEB-PAY-0054,3800,79.8,14.36,3705.84,2026-02-27T13:05:00.000Z,INR,SET-202602-02
FEB-SET-0057,FEB-PAY-0057,900,18.9,3.4,877.7,2026-02-18T13:17:00.000Z,INR,SET-202602-01
FEB-SET-0028,FEB-PAY-0028,4625,97.13,17.48,4510.39,2026-02-21T13:09:00.000Z,INR,SET-202602-04
FEB-SET-0015,FEB-PAY-0015,7350,154.35,27.78,7167.87,2026-02-21T09:57:00.000Z,INR,SET-202602-04
