LogID,StaffID,Entity,EntityRef,Event,EventTime,BranchCode,OperatorNote
FEB-ACT-0035,EMP-F-31,ORDER,FEB-ORD-0035,ORDER_CONFIRMED,2026-02-06T11:43:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0010,EMP-F-16,ORDER,FEB-ORD-0010,ORDER_CONFIRMED,2026-02-05T10:04:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0015,EMP-F-67,ORDER,FEB-ORD-0015,ORDER_CONFIRMED,2026-02-19T09:57:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0025,EMP-F-65,ORDER,FEB-ORD-0025,ORDER_CONFIRMED,2026-02-23T13:52:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0065,EMP-F-45,ORDER,FEB-ORD-0065,ORDER_CONFIRMED,2026-02-15T09:19:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0018,EMP-F-20,ORDER,FEB-ORD-0018,ORDER_CONFIRMED,2026-02-13T13:52:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0034,EMP-F-67,ORDER,FEB-ORD-0034,ORDER_CONFIRMED,2026-02-24T13:04:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0029,EMP-F-31,ORDER,FEB-ORD-0029,ORDER_CONFIRMED,2026-02-21T12:54:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0044,EMP-F-87,ORDER,FEB-ORD-0044,ORDER_CONFIRMED,2026-02-04T09:34:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0073,EMP-F-17,ORDER,FEB-ORD-0073,ORDER_CONFIRMED,2026-02-16T10:41:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0021,EMP-F-33,ORDER,FEB-ORD-0021,ORDER_CONFIRMED,2026-02-07T11:05:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0013,EMP-F-58,ORDER,FEB-ORD-0013,ORDER_CONFIRMED,2026-02-13T12:30:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0006,EMP-F-26,ORDER,FEB-ORD-0006,ORDER_CONFIRMED,2026-02-27T10:12:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0061,EMP-F-38,ORDER,FEB-ORD-0061,ORDER_CONFIRMED,2026-02-13T13:05:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0014,EMP-F-38,ORDER,FEB-ORD-0014,ORDER_CONFIRMED,2026-02-16T09:39:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0016,EMP-F-81,ORDER,FEB-ORD-0016,ORDER_CONFIRMED,2026-02-05T12:25:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0017,EMP-F-26,ORDER,FEB-ORD-0017,ORDER_CONFIRMED,2026-02-26T10:57:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0008,EMP-F-67,ORDER,FEB-ORD-0008,ORDER_CONFIRMED,2026-02-04T09:49:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0038,EMP-F-50,ORDER,FEB-ORD-0038,ORDER_CONFIRMED,2026-02-13T13:29:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0060,EMP-F-32,ORDER,FEB-ORD-0060,ORDER_CONFIRMED,2026-02-18T12:46:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0059,EMP-F-37,ORDER,FEB-ORD-0059,ORDER_CONFIRMED,2026-02-22T11:56:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0009,EMP-F-19,ORDER,FEB-ORD-0009,ORDER_CONFIRMED,2026-02-19T10:53:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0039,EMP-F-50,ORDER,FEB-ORD-0039,ORDER_CONFIRMED,2026-02-07T09:53:00.000Z,NAG-F05,order confirmed at till
FEB-ACT-0042,EMP-F-31,ORDER,FEB-ORD-0042,ORDER_CONFIRMED,2026-02-28T11:13:00.000Z,MUM-F02,order confirmed at till
FEB-ACT-0026,EMP-F-34,ORDER,FEB-ORD-0026,ORDER_CONFIRMED,2026-02-03T12:04:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0062,EMP-F-68,ORDER,FEB-ORD-0062,ORDER_CONFIRMED,2026-02-23T13:16:00.000Z,MUM-F04,order confirmed at till
FEB-ACT-0003,EMP-F-87,ORDER,FEB-ORD-0003,ORDER_CONFIRMED,2026-02-05T09:09:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0068,EMP-F-59,ORDER,FEB-ORD-0068,ORDER_CONFIRMED,2026-02-19T09:58:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0004,EMP-F-99,ORDER,FEB-ORD-0004,ORDER_CONFIRMED,2026-02-13T11:04:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0050,EMP-F-67,ORDER,FEB-ORD-0050,ORDER_CONFIRMED,2026-02-18T09:16:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0028,EMP-F-96,ORDER,FEB-ORD-0028,ORDER_CONFIRMED,2026-02-19T13:09:00.000Z,PUN-F03,order confirmed at till
FEB-ACT-0019,EMP-F-81,ORDER,FEB-ORD-0019,ORDER_CONFIRMED,2026-02-24T12:28:00.000Z,MUM-F01,order confirmed at till
FEB-ACT-0064,EMP-F-39,ORDER,FEB-ORD-0064,ORDER_CONFIRMED,2026-02-13T11:15:00.000Z,PUN-F03,order confirmed at till
