OrderRef,BranchCode,GrossAmount,SaleTimestamp,Currency,LocationName,SourceBatch
FEB-ORD-0033,NAG-F05,7100,2026-02-26T11:20:00.000Z,INR,Dharampeth,BATCH-202602-02
FEB-ORD-0058,PUN-F03,4025,2026-02-15T13:54:00.000Z,INR,Baner,BATCH-202602-01
FEB-ORD-0007,MUM-F01,7725,2026-02-13T11:50:00.000Z,INR,Andheri,BATCH-202602-04
FEB-ORD-0035,PUN-F03,900,2026-02-06T11:43:00.000Z,INR,Baner,BATCH-202602-02
FEB-ORD-0064,PUN-F03,7500,2026-02-13T11:15:00.000Z,INR,Baner,BATCH-202602-04
FEB-ORD-0043,NAG-F05,5925,2026-02-17T10:53:00.000Z,INR,Dharampeth,BATCH-202602-03
FEB-ORD-0053,MUM-F01,9700,2026-02-27T12:00:00.000Z,INR,Andheri,BATCH-202602-03
FEB-ORD-0062,MUM-F04,725,2026-02-23T13:16:00.000Z,INR,Bandra,BATCH-202602-04
FEB-ORD-0024,MUM-F01,1875,2026-02-23T13:14:00.000Z,INR,Andheri,BATCH-202602-04
FEB-ORD-0047,PUN-F03,6550,2026-02-08T09:24:00.000Z,INR,Baner,BATCH-202602-04
FEB-ORD-0009,MUM-F01,4700,2026-02-19T10:53:00.000Z,INR,Andheri,BATCH-202602-05
FEB-ORD-0071,MUM-F01,850,2026-02-08T12:33:00.000Z,INR,Andheri,BATCH-202602-04
FEB-ORD-0004,PUN-F03,8450,2026-02-13T11:04:00.000Z,INR,Baner,BATCH-202602-04
FEB-ORD-0045,MUM-F01,6750,2026-02-01T11:06:00.000Z,INR,Andheri,BATCH-202602-02
FEB-ORD-0037,PUN-F03,5050,2026-02-12T13:49:00.000Z,INR,Baner,BATCH-202602-03
FEB-ORD-0034,PUN-F03,4100,2026-02-24T13:04:00.000Z,INR,Baner,BATCH-202602-05
FEB-ORD-0022,MUM-F01,8425,2026-02-16T12:17:00.000Z,INR,Andheri,BATCH-202602-02
FEB-ORD-0072,MUM-F04,3025,2026-02-23T10:50:00.000Z,INR,Bandra,BATCH-202602-04
FEB-ORD-0066,MUM-F01,450,2026-02-19T11:17:00.000Z,INR,Andheri,BATCH-202602-05
FEB-ORD-0016,PUN-F03,9000,2026-02-05T12:25:00.000Z,INR,Baner,BATCH-202602-01
FEB-ORD-0017,PUN-F03,400,2026-02-26T10:57:00.000Z,INR,Baner,BATCH-202602-02
FEB-ORD-0026,PUN-F03,4000,2026-02-03T12:04:00.000Z,INR,Baner,BATCH-202602-04
FEB-ORD-0015,MUM-F01,7350,2026-02-19T09:57:00.000Z,INR,Andheri,BATCH-202602-05
FEB-ORD-0010,NAG-F05,1200,2026-02-05T10:04:00.000Z,INR,Dharampeth,BATCH-202602-01
FEB-ORD-0042,MUM-F02,3225,2026-02-28T11:13:00.000Z,INR,Powai,BATCH-202602-04
FEB-ORD-0050,PUN-F03,750,2026-02-18T09:16:00.000Z,INR,Baner,BATCH-202602-04
FEB-ORD-0051,NAG-F05,1775,2026-02-13T09:05:00.000Z,INR,Dharampeth,BATCH-202602-04
FEB-ORD-0049,NAG-F05,9575,2026-02-08T13:14:00.000Z,INR,Dharampeth,BATCH-202602-04
FEB-ORD-0006,PUN-F03,3050,2026-02-27T10:12:00.000Z,INR,Baner,BATCH-202602-03
FEB-ORD-0065,MUM-F01,3250,2026-02-15T09:19:00.000Z,INR,Andheri,BATCH-202602-01
FEB-ORD-0003,MUM-F01,7225,2026-02-05T09:09:00.000Z,INR,Andheri,BATCH-202602-01
