InvoiceNo,ReceiptNo,InvoiceTotal,IssuedAt,Currency,InvoiceState,Description
JAN-INV-0053,JAN-ORD-0053,5600,2026-01-21T09:40:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0053
JAN-INV-0010,JAN-ORD-0010,2670,2026-01-08T07:07:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0010
JAN-INV-0028,JAN-ORD-0028,1510,2026-01-28T07:52:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0028
JAN-INV-0013,JAN-ORD-0013,5500,2026-01-16T08:30:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0013
JAN-INV-0007,JAN-ORD-0007,3700,2026-01-08T11:34:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0007
JAN-INV-0068,JAN-ORD-0068,4740,2026-01-29T07:47:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0068
JAN-INV-0009,JAN-ORD-0009,4300,2026-01-18T07:43:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0009
JAN-INV-0057,JAN-ORD-0057,7760,2026-01-21T07:38:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0057
JAN-INV-0032,JAN-ORD-0032,3210,2026-01-13T07:20:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0032
JAN-INV-0056,JAN-ORD-0056,2340,2026-01-21T09:11:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0056
JAN-INV-0054,JAN-ORD-0054,6140,2026-01-17T09:21:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0054
JAN-INV-0047,JAN-ORD-0047,6790,2026-01-23T09:23:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0047
JAN-INV-0034,JAN-ORD-0034,5420,2026-01-16T08:25:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0034
JAN-INV-0035,JAN-ORD-0035,3630,2026-01-02T07:22:00.000Z,INR,ACTIVE,Retail sale JAN-ORD-0035
