GatewayTxn,ReceiptNo,PaidValue,CapturedWhen,Currency,GatewayFee,Method,ResponseCode
JAN-PAY-0009,JAN-ORD-0009,4300,2026-01-18T07:43:00.000Z,INR,77.4,CARD,00
JAN-PAY-0048,JAN-ORD-0048,4290,2026-01-28T11:13:00.000Z,INR,77.22,UPI,00
PAY-AMB-January_2026-0054,JAN-ORD-0054,6140,2026-01-17T09:21:45.000Z,INR,110.52,UPI,00
JAN-PAY-0020,JAN-ORD-0020,1610,2026-01-21T11:55:00.000Z,INR,28.98,UPI,00
JAN-PAY-0004,JAN-ORD-0004,2180,2026-01-14T11:04:00.000Z,INR,39.24,WALLET,00
JAN-PAY-0056,JAN-ORD-0056,2340,2026-01-21T09:11:00.000Z,INR,42.12,WALLET,00
JAN-PAY-0057,JAN-ORD-0057,7760,2026-01-21T07:38:00.000Z,INR,139.68,NETBANKING,00
JAN-PAY-0007,JAN-ORD-0007,3700,2026-01-08T11:34:00.000Z,INR,66.6,WALLET,00
JAN-PAY-0044,JAN-ORD-0044,1230,2026-01-09T11:45:00.000Z,INR,22.14,CARD,00
JAN-PAY-0058,JAN-ORD-0058,1300,2026-01-20T08:28:00.000Z,INR,23.4,UPI,00
JAN-PAY-0047,JAN-ORD-0047,6790,2026-01-23T09:23:00.000Z,INR,122.22,UPI,00
JAN-PAY-0054,JAN-ORD-0054,6140,2026-01-17T09:21:00.000Z,INR,110.52,UPI,00
JAN-PAY-0035,JAN-ORD-0035,3630,2026-01-02T07:22:00.000Z,INR,65.34,UPI,00
JAN-PAY-0072,JAN-ORD-0072,7080,2026-01-07T11:39:00.000Z,INR,127.44,NETBANKING,00
JAN-PAY-0002,JAN-ORD-0002,3280,2026-01-16T10:00:00.000Z,INR,59.04,UPI,00
JAN-PAY-0041,JAN-ORD-0041,1110,2026-01-18T10:17:00.000Z,INR,19.98,CARD,00
JAN-PAY-0038,JAN-ORD-0038,6080,2026-01-28T09:41:00.000Z,INR,109.44,CARD,00
JAN-PAY-0068,JAN-ORD-0068,4740,2026-01-29T07:47:00.000Z,INR,85.32,UPI,00
JAN-PAY-0012,JAN-ORD-0012,7440,2026-01-18T07:08:00.000Z,INR,133.92,UPI,00
JAN-PAY-0034,JAN-ORD-0034,5420,2026-01-16T08:25:00.000Z,INR,97.56,CARD,00
JAN-PAY-0030,JAN-ORD-0030,6450,2026-01-31T07:21:00.000Z,INR,116.1,UPI,00
JAN-PAY-0032,JAN-ORD-0032,3210,2026-01-13T07:20:00.000Z,INR,57.78,UPI,00
JAN-PAY-0016,JAN-ORD-0016,880,2026-01-18T09:42:00.000Z,INR,15.84,NETBANKING,00
JAN-PAY-0018,JAN-ORD-0018,2650,2026-01-12T09:59:00.000Z,INR,47.7,NETBANKING,00
JAN-PAY-0036,JAN-ORD-0036,1290,2026-01-22T07:36:00.000Z,INR,23.22,CARD,00
JAN-PAY-0062,JAN-ORD-0062,7300,2026-01-04T09:47:00.000Z,INR,131.4,NETBANKING,00
JAN-PAY-0051,JAN-ORD-0051,4580,2026-01-29T11:35:00.000Z,INR,82.44,WALLET,00
JAN-PAY-0026,JAN-ORD-0026,1160,2026-01-27T08:48:00.000Z,INR,20.88,CARD,00
