ActionRef,EmployeeCode,RecordType,RecordRef,ActionName,ActionAt,Outlet,Currency
JAN-ACT-0053,EMP-J-31,ORDER,JAN-ORD-0053,ORDER_CONFIRMED,2026-01-21T09:40:00.000Z,BLR-J03,INR
JAN-ACT-0010,EMP-J-22,ORDER,JAN-ORD-0010,ORDER_CONFIRMED,2026-01-08T07:07:00.000Z,BLR-J02,INR
JAN-ACT-0028,EMP-J-73,ORDER,JAN-ORD-0028,ORDER_CONFIRMED,2026-01-28T07:52:00.000Z,BLR-J02,INR
JAN-ACT-0013,EMP-J-25,ORDER,JAN-ORD-0013,ORDER_CONFIRMED,2026-01-16T08:30:00.000Z,BLR-J03,INR
JAN-ACT-0007,EMP-J-44,ORDER,JAN-ORD-0007,ORDER_CONFIRMED,2026-01-08T11:34:00.000Z,BLR-J04,INR
JAN-ACT-0068,EMP-J-30,ORDER,JAN-ORD-0068,ORDER_CONFIRMED,2026-01-29T07:47:00.000Z,BLR-J02,INR
JAN-ACT-0009,EMP-J-34,ORDER,JAN-ORD-0009,ORDER_CONFIRMED,2026-01-18T07:43:00.000Z,BLR-J04,INR
JAN-ACT-0057,EMP-J-18,ORDER,JAN-ORD-0057,ORDER_CONFIRMED,2026-01-21T07:38:00.000Z,BLR-J04,INR
JAN-ACT-0032,EMP-J-31,ORDER,JAN-ORD-0032,ORDER_CONFIRMED,2026-01-13T07:20:00.000Z,BLR-J01,INR
JAN-ACT-0056,EMP-J-10,ORDER,JAN-ORD-0056,ORDER_CONFIRMED,2026-01-21T09:11:00.000Z,BLR-J01,INR
JAN-ACT-0054,EMP-J-18,ORDER,JAN-ORD-0054,ORDER_CONFIRMED,2026-01-17T09:21:00.000Z,BLR-J02,INR
JAN-ACT-0047,EMP-J-46,ORDER,JAN-ORD-0047,ORDER_CONFIRMED,2026-01-23T09:23:00.000Z,BLR-J03,INR
JAN-ACT-0034,EMP-J-34,ORDER,JAN-ORD-0034,ORDER_CONFIRMED,2026-01-16T08:25:00.000Z,BLR-J02,INR
JAN-ACT-0035,EMP-J-54,ORDER,JAN-ORD-0035,ORDER_CONFIRMED,2026-01-02T07:22:00.000Z,BLR-J03,INR
JAN-ACT-0072,EMP-J-90,ORDER,JAN-ORD-0072,ORDER_CONFIRMED,2026-01-07T11:39:00.000Z,BLR-J02,INR
JAN-ACT-0002,EMP-J-97,ORDER,JAN-ORD-0002,ORDER_CONFIRMED,2026-01-16T10:00:00.000Z,BLR-J03,INR
