MovementRef,ReceiptNo,Movement,Units,SKU,UnitCost,InventoryValue,OccurredAt,Currency,Notes
JAN-MOV-0025,JAN-ORD-0025,SALE,1,SKU-J-618,2105.6,2105.6,2026-01-28T09:08:00.000Z,INR,sale posted
JAN-MOV-0056,JAN-ORD-0056,SALE,1,SKU-J-461,1099.8,1099.8,2026-01-21T09:11:00.000Z,INR,sale posted
JAN-MOV-0009,JAN-ORD-0009,SALE,1,SKU-J-390,1763,1763,2026-01-18T07:43:00.000Z,INR,sale posted
JAN-MOV-0063,JAN-ORD-0063,SALE,1,SKU-J-786,3050.4,3050.4,2026-01-27T11:27:00.000Z,INR,sale posted
JAN-MOV-0053,JAN-ORD-0053,SALE,1,SKU-J-400,2296,2296,2026-01-21T09:40:00.000Z,INR,sale posted
JAN-MOV-0005,JAN-ORD-0005,SALE,1,SKU-J-189,791.7,791.7,2026-01-17T08:27:00.000Z,INR,sale posted
JAN-MOV-0016,JAN-ORD-0016,SALE,1,SKU-J-745,360.8,360.8,2026-01-18T09:42:00.000Z,INR,sale posted
JAN-MOV-0034,JAN-ORD-0034,SALE,1,SKU-J-990,1842.8,1842.8,2026-01-16T08:25:00.000Z,INR,sale posted
JAN-MOV-0060,JAN-ORD-0060,SALE,1,SKU-J-461,2271.4,2271.4,2026-01-15T08:37:00.000Z,INR,sale posted
JAN-MOV-0037,JAN-ORD-0037,SALE,1,SKU-J-240,765,765,2026-01-04T11:00:00.000Z,INR,sale posted
JAN-MOV-0028,JAN-ORD-0028,SALE,1,SKU-J-178,709.7,709.7,2026-01-28T07:52:00.000Z,INR,sale posted
JAN-MOV-0015,JAN-ORD-0015,SALE,1,SKU-J-106,1493.5,1493.5,2026-01-08T10:31:00.000Z,INR,sale posted
JAN-MOV-0021,JAN-ORD-0021,SALE,1,SKU-J-440,1737.4,1737.4,2026-01-13T07:16:00.000Z,INR,sale posted
JAN-MOV-0042,JAN-ORD-0042,SALE,1,SKU-J-886,2373.5,2373.5,2026-01-17T10:38:00.000Z,INR,sale posted
JAN-MOV-0061,JAN-ORD-0061,SALE,1,SKU-J-502,3116,3116,2026-01-30T11:29:00.000Z,INR,sale posted
JAN-MOV-0050,JAN-ORD-0050,SALE,1,SKU-J-267,842.4,842.4,2026-01-02T09:17:00.000Z,INR,sale posted
JAN-MOV-0049,JAN-ORD-0049,SALE,1,SKU-J-983,1754.4,1754.4,2026-01-16T11:28:00.000Z,INR,sale posted
JAN-MOV-0066,JAN-ORD-0066,SALE,1,SKU-J-962,1003.2,1003.2,2026-01-25T11:58:00.000Z,INR,sale posted
JAN-MOV-0045,JAN-ORD-0045,SALE,1,SKU-J-898,2175,2175,2026-01-20T09:35:00.000Z,INR,sale posted
JAN-MOV-0057,JAN-ORD-0057,SALE,1,SKU-J-963,1862.4,1862.4,2026-01-21T07:38:00.000Z,INR,sale posted
JAN-MOV-0072,JAN-ORD-0072,SALE,1,SKU-J-612,2053.2,2053.2,2026-01-07T11:39:00.000Z,INR,sale posted
JAN-MOV-0001,JAN-ORD-0001,SALE,1,SKU-J-430,1635.6,1635.6,2026-01-12T09:35:00.000Z,INR,sale posted
JAN-MOV-0027,JAN-ORD-0027,SALE,1,SKU-J-369,498.2,498.2,2026-01-08T09:55:00.000Z,INR,sale posted
JAN-MOV-0033,JAN-ORD-0033,SALE,1,SKU-J-456,1381.7,1381.7,2026-01-11T11:36:00.000Z,INR,sale posted
JAN-MOV-0051,JAN-ORD-0051,SALE,1,SKU-J-245,2152.6,2152.6,2026-01-29T11:35:00.000Z,INR,sale posted
JAN-MOV-0058,JAN-ORD-0058,SALE,1,SKU-J-595,312,312,2026-01-20T08:28:00.000Z,INR,sale posted
JAN-MOV-0071,JAN-ORD-0071,SALE,1,SKU-J-996,551,551,2026-01-02T11:06:00.000Z,INR,sale posted
JAN-MOV-0036,JAN-ORD-0036,SALE,1,SKU-J-794,309.6,309.6,2026-01-22T07:36:00.000Z,INR,sale posted
JAN-MOV-0067,JAN-ORD-0067,SALE,1,SKU-J-260,1128,1128,2026-01-09T10:43:00.000Z,INR,sale posted
JAN-MOV-0032,JAN-ORD-0032,SALE,1,SKU-J-207,1508.7,1508.7,2026-01-13T07:20:00.000Z,INR,sale posted
JAN-MOV-0069,JAN-ORD-0069,SALE,1,SKU-J-457,282.2,282.2,2026-01-04T09:37:00.000Z,INR,sale posted
JAN-MOV-R0041,JAN-ORD-0041,RETURN,1,SKU-J-985,266.4,266.4,2026-01-23T10:17:00.000Z,INR,return received
