RetailOrder,SiteCode,OrderGross,EnteredAt,Currency,SiteName,POSDevice,MerchantReference
JUL-ORD-0007,CHN-JL02,9640,2026-07-22T17:30:00.000Z,INR,Anna Nagar,CHN-JL02-T2,MR-202607-0007
JUL-ORD-0006,CBE-JL03,4800,2026-07-07T14:11:00.000Z,INR,RS Puram,CBE-JL03-T3,MR-202607-0006
JUL-ORD-0039,CHN-JL01,9960,2026-07-25T16:36:00.000Z,INR,T Nagar,CHN-JL01-T3,MR-202607-0039
JUL-ORD-0054,CHN-JL02,10000,2026-07-02T17:52:00.000Z,INR,Anna Nagar,CHN-JL02-T1,MR-202607-0054
JUL-ORD-0020,MYS-JL05,920,2026-07-12T13:31:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0020
JUL-ORD-0060,CHN-JL01,1240,2026-07-23T14:25:00.000Z,INR,T Nagar,CHN-JL01-T1,MR-202607-0060
JUL-ORD-0030,CHN-JL02,10960,2026-07-31T13:15:00.000Z,INR,Anna Nagar,CHN-JL02-T4,MR-202607-0030
JUL-ORD-0068,CHN-JL01,7400,2026-07-11T17:55:00.000Z,INR,T Nagar,CHN-JL01-T2,MR-202607-0068
JUL-ORD-0033,KOC-JL04,6600,2026-07-18T16:44:00.000Z,INR,Kakkanad,KOC-JL04-T4,MR-202607-0033
JUL-ORD-0034,KOC-JL04,880,2026-07-06T14:51:00.000Z,INR,Kakkanad,KOC-JL04-T1,MR-202607-0034
JUL-ORD-0019,CBE-JL03,5080,2026-07-23T14:25:00.000Z,INR,RS Puram,CBE-JL03-T3,MR-202607-0019
JUL-ORD-0063,CBE-JL03,8680,2026-07-17T14:26:00.000Z,INR,RS Puram,CBE-JL03-T3,MR-202607-0063
JUL-ORD-0064,MYS-JL05,10800,2026-07-19T14:29:00.000Z,INR,Vijayanagar,MYS-JL05-T3,MR-202607-0064
JUL-ORD-0035,CBE-JL03,9440,2026-07-14T16:31:00.000Z,INR,RS Puram,CBE-JL03-T2,MR-202607-0035
JUL-ORD-0046,CHN-JL01,4160,2026-07-31T14:49:00.000Z,INR,T Nagar,CHN-JL01-T1,MR-202607-0046
JUL-ORD-0036,KOC-JL04,10320,2026-07-17T16:48:00.000Z,INR,Kakkanad,KOC-JL04-T4,MR-202607-0036
JUL-ORD-0022,CHN-JL02,8880,2026-07-21T15:08:00.000Z,INR,Anna Nagar,CHN-JL02-T3,MR-202607-0022
JUL-ORD-0011,MYS-JL05,6560,2026-07-21T13:50:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0011
JUL-ORD-0052,MYS-JL05,7640,2026-07-15T13:00:00.000Z,INR,Vijayanagar,MYS-JL05-T4,MR-202607-0052
JUL-ORD-0067,CHN-JL02,6240,2026-07-30T15:05:00.000Z,INR,Anna Nagar,CHN-JL02-T4,MR-202607-0067
JUL-ORD-0058,CHN-JL01,4480,2026-07-18T16:47:00.000Z,INR,T Nagar,CHN-JL01-T3,MR-202607-0058
JUL-ORD-0051,MYS-JL05,7480,2026-07-19T16:50:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0051
JUL-ORD-0045,CHN-JL02,10600,2026-07-15T14:36:00.000Z,INR,Anna Nagar,CHN-JL02-T1,MR-202607-0045
JUL-ORD-0012,CBE-JL03,6760,2026-07-14T13:28:00.000Z,INR,RS Puram,CBE-JL03-T1,MR-202607-0012
JUL-ORD-0062,MYS-JL05,6680,2026-07-21T15:19:00.000Z,INR,Vijayanagar,MYS-JL05-T2,MR-202607-0062
JUL-ORD-0014,CHN-JL02,9240,2026-07-26T17:10:00.000Z,INR,Anna Nagar,CHN-JL02-T4,MR-202607-0014
JUL-ORD-0025,CHN-JL02,6480,2026-07-03T13:02:00.000Z,INR,Anna Nagar,CHN-JL02-T1,MR-202607-0025
JUL-ORD-0028,CHN-JL01,760,2026-07-07T14:11:00.000Z,INR,T Nagar,CHN-JL01-T3,MR-202607-0028
JUL-ORD-0002,MYS-JL05,10200,2026-07-11T14:56:00.000Z,INR,Vijayanagar,MYS-JL05-T2,MR-202607-0002
JUL-ORD-0013,MYS-JL05,1080,2026-07-31T15:12:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0013
JUL-ORD-0015,KOC-JL04,1040,2026-07-15T16:49:00.000Z,INR,Kakkanad,KOC-JL04-T1,MR-202607-0015
JUL-ORD-0038,MYS-JL05,6840,2026-07-15T16:45:00.000Z,INR,Vijayanagar,MYS-JL05-T2,MR-202607-0038
JUL-ORD-0026,KOC-JL04,760,2026-07-01T13:40:00.000Z,INR,Kakkanad,KOC-JL04-T1,MR-202607-0026
JUL-ORD-0016,CHN-JL02,4960,2026-07-04T16:47:00.000Z,INR,Anna Nagar,CHN-JL02-T3,MR-202607-0016
JUL-ORD-0053,MYS-JL05,5120,2026-07-02T15:52:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0053
JUL-ORD-0018,CHN-JL01,8800,2026-07-27T16:09:00.000Z,INR,T Nagar,CHN-JL01-T1,MR-202607-0018
JUL-ORD-0048,MYS-JL05,9440,2026-07-03T16:34:00.000Z,INR,Vijayanagar,MYS-JL05-T3,MR-202607-0048
JUL-ORD-0050,MYS-JL05,10480,2026-07-31T14:20:00.000Z,INR,Vijayanagar,MYS-JL05-T3,MR-202607-0050
JUL-ORD-0004,MYS-JL05,8840,2026-07-01T13:34:00.000Z,INR,Vijayanagar,MYS-JL05-T4,MR-202607-0004
JUL-ORD-0072,KOC-JL04,10600,2026-07-01T15:26:00.000Z,INR,Kakkanad,KOC-JL04-T4,MR-202607-0072
JUL-ORD-0027,MYS-JL05,8240,2026-07-04T14:11:00.000Z,INR,Vijayanagar,MYS-JL05-T3,MR-202607-0027
JUL-ORD-0037,CHN-JL02,2880,2026-07-21T14:00:00.000Z,INR,Anna Nagar,CHN-JL02-T3,MR-202607-0037
JUL-ORD-0008,CBE-JL03,6360,2026-07-23T17:39:00.000Z,INR,RS Puram,CBE-JL03-T3,MR-202607-0008
JUL-ORD-0043,KOC-JL04,800,2026-07-24T13:34:00.000Z,INR,Kakkanad,KOC-JL04-T3,MR-202607-0043
JUL-ORD-0009,CHN-JL01,5120,2026-07-07T14:24:00.000Z,INR,T Nagar,CHN-JL01-T4,MR-202607-0009
JUL-ORD-0065,MYS-JL05,2480,2026-07-13T13:54:00.000Z,INR,Vijayanagar,MYS-JL05-T4,MR-202607-0065
JUL-ORD-0040,MYS-JL05,4800,2026-07-09T17:13:00.000Z,INR,Vijayanagar,MYS-JL05-T1,MR-202607-0040
JUL-ORD-0031,CBE-JL03,3000,2026-07-08T16:44:00.000Z,INR,RS Puram,CBE-JL03-T2,MR-202607-0031
JUL-ORD-0074,CHN-JL02,1680,2026-07-28T16:26:00.000Z,INR,Anna Nagar,CHN-JL02-T2,MR-202607-0074
JUL-ORD-0061,CBE-JL03,10960,2026-07-19T13:26:00.000Z,INR,RS Puram,CBE-JL03-T4,MR-202607-0061
JUL-ORD-0042,CHN-JL02,5720,2026-07-30T15:39:00.000Z,INR,Anna Nagar,CHN-JL02-T2,MR-202607-0042
JUL-ORD-0069,CHN-JL01,4160,2026-07-06T14:29:00.000Z,INR,T Nagar,CHN-JL01-T4,MR-202607-0069
JUL-ORD-0010,CHN-JL02,4000,2026-07-31T16:22:00.000Z,INR,Anna Nagar,CHN-JL02-T2,MR-202607-0010
JUL-ORD-0044,KOC-JL04,5800,2026-07-25T14:13:00.000Z,INR,Kakkanad,KOC-JL04-T3,MR-202607-0044
JUL-ORD-0041,CHN-JL02,2000,2026-07-21T13:27:00.000Z,INR,Anna Nagar,CHN-JL02-T2,MR-202607-0041
