AdviceNumber,AcquirerTransaction,GrossAmount,FeeAmount,TaxAmount,CreditAmount,AdviceDate,Currency,AdviceBatch
JUL-SET-0032,JUL-PAY-0032,10400,213.2,38.38,10148.42,2026-07-17T16:07:00.000Z,INR,SET-202607-04
JUL-SET-0019,JUL-PAY-0019,5080,104.14,18.75,4957.11,2026-07-25T14:25:00.000Z,INR,SET-202607-04
JUL-SET-0033,JUL-PAY-0033,6600,135.3,24.35,6440.35,2026-07-20T16:44:00.000Z,INR,SET-202607-03
JUL-SET-0048,JUL-PAY-0048,9440,193.52,34.83,9211.65,2026-07-05T16:34:00.000Z,INR,SET-202607-04
JUL-SET-0002,JUL-PAY-0002,10200,209.1,37.64,9953.26,2026-07-13T14:56:00.000Z,INR,SET-202607-04
JUL-SET-0006,JUL-PAY-0006,4800,98.4,17.71,4683.89,2026-07-09T14:11:00.000Z,INR,SET-202607-04
JUL-SET-0042,JUL-PAY-0042,5720,117.26,21.11,5581.63,2026-08-01T15:39:00.000Z,INR,SET-202607-03
JUL-SET-0055,JUL-PAY-0055,3720,76.26,13.73,3630.01,2026-07-12T13:49:00.000Z,INR,SET-202607-03
JUL-SET-0039,JUL-PAY-0039,9960,204.18,36.75,9719.07,2026-07-27T16:36:00.000Z,INR,SET-202607-02
JUL-SET-0065,JUL-PAY-0065,2480,50.84,9.15,2420.01,2026-07-15T13:54:00.000Z,INR,SET-202607-02
JUL-SET-0016,JUL-PAY-0016,4960,101.68,18.3,4840.02,2026-07-06T16:47:00.000Z,INR,SET-202607-01
JUL-SET-0004,JUL-PAY-0004,8840,181.22,32.62,8626.16,2026-07-03T13:34:00.000Z,INR,SET-202607-02
JUL-SET-0072,JUL-PAY-0072,10600,217.3,39.11,10343.59,2026-07-03T15:26:00.000Z,INR,SET-202607-02
JUL-SET-0027,JUL-PAY-0027,8240,168.92,30.41,8040.67,2026-07-06T14:11:00.000Z,INR,SET-202607-01
JUL-SET-0044,JUL-PAY-0044,5800,118.9,21.4,5659.7,2026-07-27T14:13:00.000Z,INR,SET-202607-02
JUL-SET-0063,JUL-PAY-0063,8680,177.94,32.03,8470.03,2026-07-19T14:26:00.000Z,INR,SET-202607-02
JUL-SET-0051,JUL-PAY-0051,7480,153.34,27.6,7299.06,2026-07-21T16:50:00.000Z,INR,SET-202607-04
JUL-SET-0005,JUL-PAY-0005,6480,132.84,23.91,6323.25,2026-07-25T17:03:00.000Z,INR,SET-202607-04
JUL-SET-0001,JUL-PAY-0001,720,14.76,2.66,702.58,2026-07-20T14:48:00.000Z,INR,SET-202607-03
JUL-SET-0056,JUL-PAY-0056,7160,146.78,26.42,6986.8,2026-07-20T13:31:00.000Z,INR,SET-202607-03
JUL-SET-0050,JUL-PAY-0050,10480,214.84,38.67,10226.49,2026-08-02T14:20:00.000Z,INR,SET-202607-04
JUL-SET-0009,JUL-PAY-0009,5120,104.96,18.89,4996.15,2026-07-09T14:24:00.000Z,INR,SET-202607-04
JUL-SET-0028,JUL-PAY-0028,760,15.58,2.8,741.62,2026-07-09T14:11:00.000Z,INR,SET-202607-04
JUL-SET-0022,JUL-PAY-0022,8880,182.04,32.77,8665.19,2026-07-23T15:08:00.000Z,INR,SET-202607-02
JUL-SET-0025,JUL-PAY-0025,6480,132.84,23.91,6323.25,2026-07-05T13:02:00.000Z,INR,SET-202607-04
JUL-SET-0052,JUL-PAY-0052,7640,156.62,28.19,7455.19,2026-07-17T13:00:00.000Z,INR,SET-202607-04
JUL-SET-0040,JUL-PAY-0040,4800,98.4,17.71,4683.89,2026-07-11T17:13:00.000Z,INR,SET-202607-02
JUL-SET-0036,JUL-PAY-0036,10320,211.56,38.08,10070.36,2026-07-19T16:48:00.000Z,INR,SET-202607-02
JUL-SET-0010,JUL-PAY-0010,4000,82,14.76,3903.24,2026-08-02T16:22:00.000Z,INR,SET-202607-04
JUL-SET-0049,JUL-PAY-0049,10400,213.2,38.38,10148.42,2026-07-27T13:56:00.000Z,INR,SET-202607-02
JUL-SET-0058,JUL-PAY-0058,4480,91.84,16.53,4371.63,2026-07-20T16:47:00.000Z,INR,SET-202607-03
JUL-SET-0035,JUL-PAY-0035,9440,193.52,34.83,9211.65,2026-07-16T16:31:00.000Z,INR,SET-202607-03
JUL-SET-0038,JUL-PAY-0038,6840,140.22,25.24,6674.54,2026-07-17T16:45:00.000Z,INR,SET-202607-04
JUL-SET-0071,JUL-PAY-0071,7640,156.62,28.19,7455.19,2026-07-27T17:00:00.000Z,INR,SET-202607-02
JUL-SET-0054,JUL-PAY-0054,10000,205,36.9,9758.1,2026-07-04T17:52:00.000Z,INR,SET-202607-03
JUL-SET-0066,JUL-PAY-0066,7920,162.36,29.22,7728.42,2026-07-20T13:42:00.000Z,INR,SET-202607-03
JUL-SET-0018,JUL-PAY-0018,8800,180.4,32.47,8587.13,2026-07-29T16:09:00.000Z,INR,SET-202607-04
JUL-SET-0061,JUL-PAY-0061,10960,224.68,40.44,10694.88,2026-07-21T13:26:00.000Z,INR,SET-202607-04
JUL-SET-0029,JUL-PAY-0029,4560,93.48,16.83,4449.69,2026-07-03T17:47:00.000Z,INR,SET-202607-02
JUL-SET-0031,JUL-PAY-0031,3000,61.5,11.07,2927.43,2026-07-10T16:44:00.000Z,INR,SET-202607-01
JUL-SET-0003,JUL-PAY-0003,720,14.76,2.66,702.58,2026-08-02T13:05:00.000Z,INR,SET-202607-04
JUL-SET-0070,JUL-PAY-0070,7320,150.06,27.01,7142.93,2026-07-29T13:41:00.000Z,INR,SET-202607-04
JUL-SET-0046,JUL-PAY-0046,4160,85.28,15.35,4059.37,2026-08-02T14:49:00.000Z,INR,SET-202607-04
JUL-SET-0068,JUL-PAY-0068,7400,151.7,27.31,7220.99,2026-07-13T17:55:00.000Z,INR,SET-202607-04
JUL-SET-0021,JUL-PAY-0021,880,18.04,3.25,858.71,2026-07-27T15:13:00.000Z,INR,SET-202607-02
JUL-SET-0041,JUL-PAY-0041,2000,41,7.38,1951.62,2026-07-23T13:27:00.000Z,INR,SET-202607-02
JUL-SET-0015,JUL-PAY-0015,1040,21.32,3.84,1014.84,2026-07-17T16:49:00.000Z,INR,SET-202607-04
JUL-SET-0034,JUL-PAY-0034,880,18.04,3.25,858.71,2026-07-08T14:51:00.000Z,INR,SET-202607-03
JUL-SET-0043,JUL-PAY-0043,800,16.4,2.95,780.65,2026-07-26T13:34:00.000Z,INR,SET-202607-01
JUL-SET-0030,JUL-PAY-0030,10960,224.68,40.44,10694.88,2026-08-02T13:15:00.000Z,INR,SET-202607-04
JUL-SET-0073,JUL-PAY-0073,4400,90.2,16.24,4293.56,2026-07-22T14:30:00.000Z,INR,SET-202607-01
JUL-SET-0008,JUL-PAY-0008,6360,130.38,23.47,6206.15,2026-07-25T17:39:00.000Z,INR,SET-202607-04
JUL-SET-0069,JUL-PAY-0069,4160,85.28,15.35,4059.37,2026-07-08T14:29:00.000Z,INR,SET-202607-03
JUL-SET-0045,JUL-PAY-0045,10600,217.3,39.11,10343.59,2026-07-17T14:36:00.000Z,INR,SET-202607-04
JUL-SET-0057,JUL-PAY-0057,6440,132.02,23.76,6284.22,2026-07-13T13:55:00.000Z,INR,SET-202607-04
JUL-SET-0060,JUL-PAY-0060,1240,25.42,4.58,1210,2026-07-25T14:25:00.000Z,INR,SET-202607-04
JUL-SET-0014,JUL-PAY-0014,9240,189.42,34.1,9016.48,2026-07-28T17:10:00.000Z,INR,SET-202607-03
JUL-SET-0064,JUL-PAY-0064,10800,221.4,39.85,10538.75,2026-07-21T14:29:00.000Z,INR,SET-202607-04
JUL-SET-0074,JUL-PAY-0074,1680,34.44,6.2,1639.36,2026-07-30T16:26:00.000Z,INR,SET-202607-01
JUL-SET-0024,JUL-PAY-0024,3920,80.36,14.46,3825.18,2026-07-16T17:54:00.000Z,INR,SET-202607-03
JUL-SET-0053,JUL-PAY-0053,5120,104.96,18.89,4996.15,2026-07-04T15:52:00.000Z,INR,SET-202607-03
JUL-SET-0011,JUL-PAY-0011,6560,134.48,24.21,6401.31,2026-07-23T13:50:00.000Z,INR,SET-202607-02
JUL-SET-0059,JUL-PAY-0059,3160,64.78,11.66,3083.56,2026-07-08T15:41:00.000Z,INR,SET-202607-03
JUL-SET-0023,JUL-PAY-0023,10360,212.38,38.23,10109.39,2026-07-16T17:14:00.000Z,INR,SET-202607-03
JUL-SET-0037,JUL-PAY-0037,2880,59.04,10.63,2810.33,2026-07-23T14:00:00.000Z,INR,SET-202607-02
JUL-SET-0012,JUL-PAY-0012,6760,138.58,24.94,6596.48,2026-07-16T13:28:00.000Z,INR,SET-202607-03
JUL-SET-0026,JUL-PAY-0026,760,15.58,2.8,741.62,2026-07-03T13:40:00.000Z,INR,SET-202607-02
JUL-SET-0062,JUL-PAY-0062,6680,136.94,24.65,6518.41,2026-07-23T15:19:00.000Z,INR,SET-202607-02
JUL-SET-0017,JUL-PAY-0017,9400,192.7,34.69,9172.61,2026-07-19T16:07:00.000Z,INR,SET-202607-02
JUL-SET-0067,JUL-PAY-0067,6240,127.92,23.03,6089.05,2026-08-01T15:05:00.000Z,INR,SET-202607-03
JUL-SET-0007,JUL-PAY-0007,9640,197.62,35.57,9406.81,2026-07-24T17:30:00.000Z,INR,SET-202607-03
JUL-SET-0020,JUL-PAY-0020,920,18.86,3.39,897.75,2026-07-14T13:31:00.000Z,INR,SET-202607-01
JUL-SET-0013,JUL-PAY-0013,1080,22.14,3.99,1053.87,2026-08-02T15:12:00.000Z,INR,SET-202607-04
