ActivityNumber,AgentID,EntityType,EntityNumber,ActivityCode,ActivityTimestamp,SiteCode,Comment
JUL-ACT-0032,EMP-JL-90,ORDER,JUL-ORD-0032,ORDER_CONFIRMED,2026-07-15T16:07:00.000Z,CHN-JL01,order confirmed at till
JUL-ACT-0061,EMP-JL-69,ORDER,JUL-ORD-0061,ORDER_CONFIRMED,2026-07-19T13:26:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0051,EMP-JL-94,ORDER,JUL-ORD-0051,ORDER_CONFIRMED,2026-07-19T16:50:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0052,EMP-JL-69,ORDER,JUL-ORD-0052,ORDER_CONFIRMED,2026-07-15T13:00:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0024,EMP-JL-46,ORDER,JUL-ORD-0024,ORDER_CONFIRMED,2026-07-14T17:54:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0016,EMP-JL-88,ORDER,JUL-ORD-0016,ORDER_CONFIRMED,2026-07-04T16:47:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0027,EMP-JL-31,ORDER,JUL-ORD-0027,ORDER_CONFIRMED,2026-07-04T14:11:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0006,EMP-JL-63,ORDER,JUL-ORD-0006,ORDER_CONFIRMED,2026-07-07T14:11:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0003,EMP-JL-56,ORDER,JUL-ORD-0003,ORDER_CONFIRMED,2026-07-31T13:05:00.000Z,CBE-JL03,order confirmed at till
JUL-ACT-0057,EMP-JL-18,ORDER,JUL-ORD-0057,ORDER_CONFIRMED,2026-07-11T13:55:00.000Z,MYS-JL05,order confirmed at till
JUL-ACT-0067,EMP-JL-80,ORDER,JUL-ORD-0067,ORDER_CONFIRMED,2026-07-30T15:05:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0010,EMP-JL-54,ORDER,JUL-ORD-0010,ORDER_CONFIRMED,2026-07-31T16:22:00.000Z,CHN-JL02,order confirmed at till
JUL-ACT-0001,EMP-JL-53,ORDER,JUL-ORD-0001,ORDER_CONFIRMED,2026-07-18T14:48:00.000Z,KOC-JL04,order confirmed at till
