SettlementID,PaymentID,GrossAmount,FeeAmount,FeeTax,NetAmount,SettledTime,CCY,BankFile
JUN-SET-0057,JUN-PAY-0057,4220,67.52,12.15,4140.33,2026-06-16T16:15:00.000Z,INR,SET-202606-03
JUN-SET-0074,JUN-PAY-0074,680,10.88,1.96,667.16,2026-06-14T16:02:00.000Z,INR,SET-202606-01
JUN-SET-0023,JUN-PAY-0023,1700,27.2,4.9,1667.9,2026-06-09T14:54:00.000Z,INR,SET-202606-04
JUN-SET-0045,JUN-PAY-0045,4440,71.04,12.79,4356.17,2026-06-11T14:07:00.000Z,INR,SET-202606-02
JUN-SET-0046,JUN-PAY-0046,2840,45.44,8.18,2786.38,2026-06-21T13:27:00.000Z,INR,SET-202606-04
JUN-SET-0001,JUN-PAY-0001,2200,35.2,6.34,2158.46,2026-06-07T16:17:00.000Z,INR,SET-202606-02
JUN-SET-0049,JUN-PAY-0049,4860,77.76,14,4768.24,2026-06-25T13:09:00.000Z,INR,SET-202606-04
JUN-SET-0047,JUN-PAY-0047,1900,30.4,5.47,1864.13,2026-06-05T15:11:00.000Z,INR,SET-202606-04
JUN-SET-0052,JUN-PAY-0052,3200,51.2,9.22,3139.58,2026-06-14T12:00:00.000Z,INR,SET-202606-01
JUN-SET-0071,JUN-PAY-0071,1780,28.48,5.13,1746.39,2026-06-09T14:23:00.000Z,INR,SET-202606-04
JUN-SET-0039,JUN-PAY-0039,2620,41.92,7.55,2570.53,2026-06-21T12:07:00.000Z,INR,SET-202606-04
JUN-SET-0010,JUN-PAY-0010,1060,16.96,3.05,1039.99,2026-06-09T14:10:00.000Z,INR,SET-202606-04
JUN-SET-0009,JUN-PAY-0009,2660,42.56,7.66,2609.78,2026-07-02T14:09:00.000Z,INR,SET-202606-03
JUN-SET-0035,JUN-PAY-0035,2420,38.72,6.97,2374.31,2026-06-11T12:15:00.000Z,INR,SET-202606-02
JUN-SET-0036,JUN-PAY-0036,2640,42.24,7.6,2590.16,2026-07-01T12:14:00.000Z,INR,SET-202606-02
JUN-SET-0055,JUN-PAY-0055,5340,85.44,15.38,5239.18,2026-06-20T15:22:00.000Z,INR,SET-202606-03
JUN-SET-0061,JUN-PAY-0061,3160,50.56,9.1,3100.34,2026-06-06T12:18:00.000Z,INR,SET-202606-01
JUN-SET-0027,JUN-PAY-0027,4920,78.72,14.17,4827.11,2026-06-06T12:44:00.000Z,INR,SET-202606-01
JUN-SET-0024,JUN-PAY-0024,3440,55.04,9.91,3375.05,2026-06-28T14:31:00.000Z,INR,SET-202606-03
JUN-SET-0073,JUN-PAY-0073,4220,67.52,12.15,4140.33,2026-06-16T12:26:00.000Z,INR,SET-202606-03
JUN-SET-0003,JUN-PAY-0003,4060,64.96,11.69,3983.35,2026-06-04T14:47:00.000Z,INR,SET-202606-03
JUN-SET-0054,JUN-PAY-0054,1860,29.76,5.36,1824.88,2026-07-02T12:11:00.000Z,INR,SET-202606-03
JUN-SET-0072,JUN-PAY-0072,2360,37.76,6.8,2315.44,2026-06-17T13:17:00.000Z,INR,SET-202606-04
JUN-SET-0051,JUN-PAY-0051,5120,81.92,14.75,5023.33,2026-06-19T12:33:00.000Z,INR,SET-202606-02
JUN-SET-0022,JUN-PAY-0022,4180,66.88,12.04,4101.08,2026-06-13T14:26:00.000Z,INR,SET-202606-04
JUN-SET-0002,JUN-PAY-0002,2100,33.6,6.05,2060.35,2026-06-12T14:48:00.000Z,INR,SET-202606-03
JUN-SET-0077,JUN-PAY-0077,2000,32,5.76,1962.24,2026-06-06T14:23:00.000Z,INR,SET-202606-01
JUN-SET-0066,JUN-PAY-0066,2720,43.52,7.83,2668.65,2026-06-18T13:18:00.000Z,INR,SET-202606-01
JUN-SET-0044,JUN-PAY-0044,2560,40.96,7.37,2511.67,2026-06-19T15:29:00.000Z,INR,SET-202606-02
JUN-SET-0050,JUN-PAY-0050,2640,42.24,7.6,2590.16,2026-06-19T16:17:00.000Z,INR,SET-202606-02
JUN-SET-0076,JUN-PAY-0076,1880,30.08,5.41,1844.51,2026-06-22T16:49:00.000Z,INR,SET-202606-01
JUN-SET-0070,JUN-PAY-0070,5320,85.12,15.32,5219.56,2026-06-26T12:26:00.000Z,INR,SET-202606-01
JUN-SET-0021,JUN-PAY-0021,2020,32.32,5.82,1981.86,2026-06-13T16:58:00.000Z,INR,SET-202606-04
JUN-SET-0025,JUN-PAY-0025,3940,63.04,11.35,3865.61,2026-07-01T12:11:00.000Z,INR,SET-202606-02
JUN-SET-0043,JUN-PAY-0043,2180,34.88,6.28,2138.84,2026-07-01T12:02:00.000Z,INR,SET-202606-02
JUN-SET-0075,JUN-PAY-0075,4000,64,11.52,3924.48,2026-06-15T13:18:00.000Z,INR,SET-202606-02
JUN-SET-0059,JUN-PAY-0059,2400,38.4,6.91,2354.69,2026-06-18T13:27:00.000Z,INR,SET-202606-01
JUN-SET-0038,JUN-PAY-0038,5340,85.44,15.38,5239.18,2026-06-03T14:07:00.000Z,INR,SET-202606-02
JUN-SET-0008,JUN-PAY-0008,3860,61.76,11.12,3787.12,2026-06-26T14:21:00.000Z,INR,SET-202606-01
JUN-SET-0053,JUN-PAY-0053,5040,80.64,14.52,4944.84,2026-06-07T14:40:00.000Z,INR,SET-202606-02
JUN-SET-0028,JUN-PAY-0028,2360,37.76,6.8,2315.44,2026-06-18T15:50:00.000Z,INR,SET-202606-01
JUN-SET-0026,JUN-PAY-0026,5360,85.76,15.44,5258.8,2026-06-23T15:54:00.000Z,INR,SET-202606-02
JUN-SET-0030,JUN-PAY-0030,4240,67.84,12.21,4159.95,2026-06-16T15:14:00.000Z,INR,SET-202606-03
JUN-SET-0016,JUN-PAY-0016,640,10.24,1.84,627.92,2026-06-03T12:02:00.000Z,INR,SET-202606-02
JUN-SET-0007,JUN-PAY-0007,4120,65.92,11.87,4042.21,2026-06-24T16:24:00.000Z,INR,SET-202606-03
JUN-SET-0005,JUN-PAY-0005,4600,73.6,13.25,4513.15,2026-06-11T15:38:00.000Z,INR,SET-202606-02
JUN-SET-0012,JUN-PAY-0012,4480,71.68,12.9,4395.42,2026-06-11T12:28:00.000Z,INR,SET-202606-02
JUN-SET-0018,JUN-PAY-0018,4360,69.76,12.56,4277.68,2026-06-05T14:20:00.000Z,INR,SET-202606-04
JUN-SET-0048,JUN-PAY-0048,660,10.56,1.9,647.54,2026-06-04T16:34:00.000Z,INR,SET-202606-03
JUN-SET-0067,JUN-PAY-0067,500,8,1.44,490.56,2026-06-08T13:51:00.000Z,INR,SET-202606-03
JUN-SET-0062,JUN-PAY-0062,3960,63.36,11.4,3885.24,2026-06-05T16:25:00.000Z,INR,SET-202606-04
JUN-SET-0037,JUN-PAY-0037,4040,64.64,11.64,3963.72,2026-06-11T15:58:00.000Z,INR,SET-202606-02
JUN-SET-0078,JUN-PAY-0078,3760,60.16,10.83,3689.01,2026-06-19T14:24:00.000Z,INR,SET-202606-02
JUN-SET-0041,JUN-PAY-0041,2520,40.32,7.26,2472.42,2026-06-27T15:43:00.000Z,INR,SET-202606-02
JUN-SET-0065,JUN-PAY-0065,1080,17.28,3.11,1059.61,2026-06-12T16:46:00.000Z,INR,SET-202606-03
JUN-SET-0040,JUN-PAY-0040,4260,68.16,12.27,4179.57,2026-06-12T12:46:00.000Z,INR,SET-202606-03
