EmployeeActionID,EmployeeID,EntityType,EntityID,ActionCode,ActionTime,LocationID,CCY
JUN-ACT-0006,EMP-JN-26,ORDER,JUN-ORD-0006,ORDER_CONFIRMED,2026-06-17T12:02:00.000Z,AUR-JN04,INR
JUN-ACT-0043,EMP-JN-53,ORDER,JUN-ORD-0043,ORDER_CONFIRMED,2026-06-29T12:02:00.000Z,AHM-JN01,INR
JUN-ACT-0075,EMP-JN-43,ORDER,JUN-ORD-0075,ORDER_CONFIRMED,2026-06-13T13:18:00.000Z,AHM-JN01,INR
JUN-ACT-0028,EMP-JN-49,ORDER,JUN-ORD-0028,ORDER_CONFIRMED,2026-06-16T15:50:00.000Z,AUR-JN04,INR
JUN-ACT-0027,EMP-JN-45,ORDER,JUN-ORD-0027,ORDER_CONFIRMED,2026-06-04T12:44:00.000Z,RAJ-JN03,INR
JUN-ACT-0024,EMP-JN-60,ORDER,JUN-ORD-0024,ORDER_CONFIRMED,2026-06-26T14:31:00.000Z,AHM-JN01,INR
JUN-ACT-0020,EMP-JN-18,ORDER,JUN-ORD-0020,ORDER_CONFIRMED,2026-06-26T14:19:00.000Z,SUR-JN02,INR
JUN-ACT-0069,EMP-JN-93,ORDER,JUN-ORD-0069,ORDER_CONFIRMED,2026-06-18T13:25:00.000Z,AUR-JN04,INR
JUN-ACT-0004,EMP-JN-10,ORDER,JUN-ORD-0004,ORDER_CONFIRMED,2026-06-08T13:50:00.000Z,AHM-JN01,INR
JUN-ACT-0068,EMP-JN-93,ORDER,JUN-ORD-0068,ORDER_CONFIRMED,2026-06-12T12:02:00.000Z,AUR-JN04,INR
JUN-ACT-0023,EMP-JN-29,ORDER,JUN-ORD-0023,ORDER_CONFIRMED,2026-06-07T14:54:00.000Z,SUR-JN02,INR
JUN-ACT-0042,EMP-JN-59,ORDER,JUN-ORD-0042,ORDER_CONFIRMED,2026-06-08T16:50:00.000Z,AHM-JN01,INR
JUN-ACT-0078,EMP-JN-13,ORDER,JUN-ORD-0078,ORDER_CONFIRMED,2026-06-17T14:24:00.000Z,AHM-JN01,INR
JUN-ACT-0049,EMP-JN-61,ORDER,JUN-ORD-0049,ORDER_CONFIRMED,2026-06-23T13:09:00.000Z,SUR-JN02,INR
JUN-ACT-0011,EMP-JN-82,ORDER,JUN-ORD-0011,ORDER_CONFIRMED,2026-06-16T15:26:00.000Z,AUR-JN04,INR
JUN-ACT-0070,EMP-JN-22,ORDER,JUN-ORD-0070,ORDER_CONFIRMED,2026-06-24T12:26:00.000Z,SUR-JN02,INR
JUN-ACT-0066,EMP-JN-64,ORDER,JUN-ORD-0066,ORDER_CONFIRMED,2026-06-16T13:18:00.000Z,RAJ-JN03,INR
JUN-ACT-0064,EMP-JN-81,ORDER,JUN-ORD-0064,ORDER_CONFIRMED,2026-06-14T16:32:00.000Z,AUR-JN04,INR
JUN-ACT-0022,EMP-JN-51,ORDER,JUN-ORD-0022,ORDER_CONFIRMED,2026-06-11T14:26:00.000Z,AHM-JN01,INR
JUN-ACT-0025,EMP-JN-67,ORDER,JUN-ORD-0025,ORDER_CONFIRMED,2026-06-29T12:11:00.000Z,AUR-JN04,INR
JUN-ACT-0076,EMP-JN-80,ORDER,JUN-ORD-0076,ORDER_CONFIRMED,2026-06-20T16:49:00.000Z,SUR-JN02,INR
JUN-ACT-0077,EMP-JN-15,ORDER,JUN-ORD-0077,ORDER_CONFIRMED,2026-06-04T14:23:00.000Z,AHM-JN01,INR
JUN-ACT-0038,EMP-JN-77,ORDER,JUN-ORD-0038,ORDER_CONFIRMED,2026-06-01T14:07:00.000Z,RAJ-JN03,INR
JUN-ACT-0071,EMP-JN-79,ORDER,JUN-ORD-0071,ORDER_CONFIRMED,2026-06-07T14:23:00.000Z,AUR-JN04,INR
JUN-ACT-0013,EMP-JN-82,ORDER,JUN-ORD-0013,ORDER_CONFIRMED,2026-06-16T13:44:00.000Z,RAJ-JN03,INR
JUN-ACT-0026,EMP-JN-71,ORDER,JUN-ORD-0026,ORDER_CONFIRMED,2026-06-21T15:54:00.000Z,SUR-JN02,INR
JUN-ACT-0058,EMP-JN-65,ORDER,JUN-ORD-0058,ORDER_CONFIRMED,2026-06-06T16:53:00.000Z,SUR-JN02,INR
JUN-ACT-0008,EMP-JN-91,ORDER,JUN-ORD-0008,ORDER_CONFIRMED,2026-06-24T14:21:00.000Z,RAJ-JN03,INR
