SaleID,LocationID,Amount,SaleTime,CCY,LocationText,Terminal
JUN-ORD-0034,SUR-JN02,5220,2026-06-04T14:46:00.000Z,INR,Vesu,SUR-JN02-T4
JUN-ORD-0010,RAJ-JN03,1060,2026-06-07T14:10:00.000Z,INR,Kalavad Road,RAJ-JN03-T3
JUN-ORD-0026,SUR-JN02,5360,2026-06-21T15:54:00.000Z,INR,Vesu,SUR-JN02-T4
JUN-ORD-0074,SUR-JN02,680,2026-06-12T16:02:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0018,RAJ-JN03,4360,2026-06-03T14:20:00.000Z,INR,Kalavad Road,RAJ-JN03-T4
JUN-ORD-0075,AHM-JN01,4000,2026-06-13T13:18:00.000Z,INR,Navrangpura,AHM-JN01-T1
JUN-ORD-0015,AHM-JN01,5380,2026-06-19T13:06:00.000Z,INR,Navrangpura,AHM-JN01-T4
JUN-ORD-0004,AHM-JN01,3680,2026-06-08T13:50:00.000Z,INR,Navrangpura,AHM-JN01-T1
JUN-ORD-0038,RAJ-JN03,5340,2026-06-01T14:07:00.000Z,INR,Kalavad Road,RAJ-JN03-T3
JUN-ORD-0012,SUR-JN02,4480,2026-06-09T12:28:00.000Z,INR,Vesu,SUR-JN02-T2
JUN-ORD-0056,RAJ-JN03,5380,2026-06-07T12:07:00.000Z,INR,Kalavad Road,RAJ-JN03-T2
JUN-ORD-0031,RAJ-JN03,4820,2026-06-29T14:00:00.000Z,INR,Kalavad Road,RAJ-JN03-T3
JUN-ORD-0006,AUR-JN04,4400,2026-06-17T12:02:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0070,SUR-JN02,5320,2026-06-24T12:26:00.000Z,INR,Vesu,SUR-JN02-T1
JUN-ORD-0022,AHM-JN01,4180,2026-06-11T14:26:00.000Z,INR,Navrangpura,AHM-JN01-T2
JUN-ORD-0073,RAJ-JN03,4220,2026-06-14T12:26:00.000Z,INR,Kalavad Road,RAJ-JN03-T1
JUN-ORD-0013,RAJ-JN03,2160,2026-06-16T13:44:00.000Z,INR,Kalavad Road,RAJ-JN03-T2
JUN-ORD-0047,RAJ-JN03,1900,2026-06-03T15:11:00.000Z,INR,Kalavad Road,RAJ-JN03-T1
JUN-ORD-0008,RAJ-JN03,3860,2026-06-24T14:21:00.000Z,INR,Kalavad Road,RAJ-JN03-T3
JUN-ORD-0021,SUR-JN02,2020,2026-06-11T16:58:00.000Z,INR,Vesu,SUR-JN02-T2
JUN-ORD-0063,SUR-JN02,2580,2026-06-02T15:14:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0027,RAJ-JN03,4920,2026-06-04T12:44:00.000Z,INR,Kalavad Road,RAJ-JN03-T4
JUN-ORD-0011,AUR-JN04,2260,2026-06-16T15:26:00.000Z,INR,CIDCO,AUR-JN04-T1
JUN-ORD-0057,AHM-JN01,4220,2026-06-14T16:15:00.000Z,INR,Navrangpura,AHM-JN01-T1
JUN-ORD-0020,SUR-JN02,4040,2026-06-26T14:19:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0064,AUR-JN04,2060,2026-06-14T16:32:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0014,AHM-JN01,760,2026-06-12T16:19:00.000Z,INR,Navrangpura,AHM-JN01-T2
JUN-ORD-0009,RAJ-JN03,2660,2026-06-30T14:09:00.000Z,INR,Kalavad Road,RAJ-JN03-T1
JUN-ORD-0040,SUR-JN02,4260,2026-06-10T12:46:00.000Z,INR,Vesu,SUR-JN02-T4
JUN-ORD-0046,SUR-JN02,2840,2026-06-19T13:27:00.000Z,INR,Vesu,SUR-JN02-T2
JUN-ORD-0039,AHM-JN01,2620,2026-06-19T12:07:00.000Z,INR,Navrangpura,AHM-JN01-T1
JUN-ORD-0048,SUR-JN02,660,2026-06-02T16:34:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0054,RAJ-JN03,1860,2026-06-30T12:11:00.000Z,INR,Kalavad Road,RAJ-JN03-T2
JUN-ORD-0029,SUR-JN02,2180,2026-06-14T12:17:00.000Z,INR,Vesu,SUR-JN02-T2
JUN-ORD-0032,RAJ-JN03,1100,2026-06-23T15:10:00.000Z,INR,Kalavad Road,RAJ-JN03-T3
JUN-ORD-0017,AUR-JN04,2840,2026-06-30T13:37:00.000Z,INR,CIDCO,AUR-JN04-T4
JUN-ORD-0033,AUR-JN04,5300,2026-06-06T15:19:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0059,SUR-JN02,2400,2026-06-16T13:27:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0061,AUR-JN04,3160,2026-06-04T12:18:00.000Z,INR,CIDCO,AUR-JN04-T4
JUN-ORD-0067,AUR-JN04,500,2026-06-06T13:51:00.000Z,INR,CIDCO,AUR-JN04-T4
JUN-ORD-0055,SUR-JN02,5340,2026-06-18T15:22:00.000Z,INR,Vesu,SUR-JN02-T1
JUN-ORD-0043,AHM-JN01,2180,2026-06-29T12:02:00.000Z,INR,Navrangpura,AHM-JN01-T4
JUN-ORD-0058,SUR-JN02,5360,2026-06-06T16:53:00.000Z,INR,Vesu,SUR-JN02-T1
JUN-ORD-0049,SUR-JN02,4860,2026-06-23T13:09:00.000Z,INR,Vesu,SUR-JN02-T2
JUN-ORD-0003,AHM-JN01,4060,2026-06-02T14:47:00.000Z,INR,Navrangpura,AHM-JN01-T4
JUN-ORD-0042,AHM-JN01,5160,2026-06-08T16:50:00.000Z,INR,Navrangpura,AHM-JN01-T3
JUN-ORD-0001,AHM-JN01,2200,2026-06-05T16:17:00.000Z,INR,Navrangpura,AHM-JN01-T4
JUN-ORD-0019,AHM-JN01,3860,2026-06-11T12:47:00.000Z,INR,Navrangpura,AHM-JN01-T4
JUN-ORD-0068,AUR-JN04,2060,2026-06-12T12:02:00.000Z,INR,CIDCO,AUR-JN04-T1
JUN-ORD-0044,AUR-JN04,2560,2026-06-17T15:29:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0005,SUR-JN02,4600,2026-06-09T15:38:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0002,SUR-JN02,2100,2026-06-10T14:48:00.000Z,INR,Vesu,SUR-JN02-T1
JUN-ORD-0052,AUR-JN04,3200,2026-06-12T12:00:00.000Z,INR,CIDCO,AUR-JN04-T1
JUN-ORD-0045,AUR-JN04,4440,2026-06-09T14:07:00.000Z,INR,CIDCO,AUR-JN04-T1
JUN-ORD-0041,AHM-JN01,2520,2026-06-25T15:43:00.000Z,INR,Navrangpura,AHM-JN01-T2
JUN-ORD-0036,SUR-JN02,2640,2026-06-29T12:14:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0035,SUR-JN02,2420,2026-06-09T12:15:00.000Z,INR,Vesu,SUR-JN02-T2
JUN-ORD-0060,SUR-JN02,3600,2026-06-05T15:57:00.000Z,INR,Vesu,SUR-JN02-T3
JUN-ORD-0062,AUR-JN04,3960,2026-06-03T16:25:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0071,AUR-JN04,1780,2026-06-07T14:23:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0051,RAJ-JN03,5120,2026-06-17T12:33:00.000Z,INR,Kalavad Road,RAJ-JN03-T1
JUN-ORD-0050,RAJ-JN03,2640,2026-06-17T16:17:00.000Z,INR,Kalavad Road,RAJ-JN03-T2
JUN-ORD-0069,AUR-JN04,2420,2026-06-18T13:25:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0078,AHM-JN01,3760,2026-06-17T14:24:00.000Z,INR,Navrangpura,AHM-JN01-T2
JUN-ORD-0053,RAJ-JN03,5040,2026-06-05T14:40:00.000Z,INR,Kalavad Road,RAJ-JN03-T3
JUN-ORD-0007,AHM-JN01,4120,2026-06-22T16:24:00.000Z,INR,Navrangpura,AHM-JN01-T2
JUN-ORD-0024,AHM-JN01,3440,2026-06-26T14:31:00.000Z,INR,Navrangpura,AHM-JN01-T4
JUN-ORD-0028,AUR-JN04,2360,2026-06-16T15:50:00.000Z,INR,CIDCO,AUR-JN04-T3
JUN-ORD-0030,AUR-JN04,4240,2026-06-14T15:14:00.000Z,INR,CIDCO,AUR-JN04-T4
JUN-ORD-0023,SUR-JN02,1700,2026-06-07T14:54:00.000Z,INR,Vesu,SUR-JN02-T4
JUN-ORD-0066,RAJ-JN03,2720,2026-06-16T13:18:00.000Z,INR,Kalavad Road,RAJ-JN03-T4
JUN-ORD-0065,AHM-JN01,1080,2026-06-10T16:46:00.000Z,INR,Navrangpura,AHM-JN01-T2
JUN-ORD-0037,AUR-JN04,4040,2026-06-09T15:58:00.000Z,INR,CIDCO,AUR-JN04-T4
