DocumentNo,TxnReceipt,DocumentValue,DocumentDate,Ccy,DocumentType,State
MAR-INV-0052,MAR-ORD-0052,8550,2026-03-19T14:21:00.000Z,INR,SALE,ACTIVE
MAR-INV-0022,MAR-ORD-0022,7300,2026-03-05T10:47:00.000Z,INR,SALE,ACTIVE
MAR-INV-0018,MAR-ORD-0018,6950,2026-03-17T12:36:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0025,MAR-ORD-0025,-2150,2026-03-28T10:32:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0040,MAR-ORD-0040,5500,2026-03-05T13:28:00.000Z,INR,SALE,ACTIVE
MAR-INV-0058,MAR-ORD-0058,4150,2026-03-15T13:14:00.000Z,INR,SALE,ACTIVE
MAR-INV-0059,MAR-ORD-0059,4950,2026-03-03T10:16:00.000Z,INR,SALE,ACTIVE
MAR-INV-0073,MAR-ORD-0073,9600,2026-03-29T14:14:00.000Z,INR,SALE,ACTIVE
MAR-INV-0069,MAR-ORD-0069,10300,2026-03-16T11:13:00.000Z,INR,SALE,ACTIVE
MAR-INV-0021,MAR-ORD-0021,10100,2026-03-10T12:46:00.000Z,INR,SALE,ACTIVE
MAR-INV-0075,MAR-ORD-0075,1550,2026-03-09T11:06:00.000Z,INR,SALE,ACTIVE
MAR-INV-R0023,MAR-ORD-0023,-7850,2026-03-08T14:38:00.000Z,INR,REVERSAL,REVERSED
MAR-INV-0010,MAR-ORD-0010,6250,2026-03-05T14:01:00.000Z,INR,SALE,ACTIVE
MAR-INV-0012,MAR-ORD-0012,10150,2026-03-23T13:55:00.000Z,INR,SALE,ACTIVE
MAR-INV-0017,MAR-ORD-0017,6500,2026-03-03T12:48:00.000Z,INR,SALE,ACTIVE
MAR-INV-0068,MAR-ORD-0068,7200,2026-03-15T13:41:00.000Z,INR,SALE,ACTIVE
MAR-INV-0042,MAR-ORD-0042,850,2026-03-22T13:37:00.000Z,INR,SALE,ACTIVE
MAR-INV-0054,MAR-ORD-0054,7650,2026-03-24T10:31:00.000Z,INR,SALE,ACTIVE
MAR-INV-0001,MAR-ORD-0001,12000,2026-03-25T14:07:00.000Z,INR,SALE,ACTIVE
MAR-INV-0056,MAR-ORD-0056,6300,2026-03-31T13:54:00.000Z,INR,SALE,ACTIVE
MAR-INV-0044,MAR-ORD-0044,2550,2026-03-31T11:54:00.000Z,INR,SALE,ACTIVE
MAR-INV-0050,MAR-ORD-0050,10350,2026-03-11T14:41:00.000Z,INR,SALE,ACTIVE
MAR-INV-0035,MAR-ORD-0035,1450,2026-03-20T10:33:00.000Z,INR,SALE,ACTIVE
