MovementID,TxnReceipt,Type,Qty,ItemCode,UnitCost,ExtendedCost,RecordedAt,Ccy,Site
MAR-MOV-0053,MAR-ORD-0053,SALE,1,SKU-M-481,4441.5,4441.5,2026-03-05T12:36:00.000Z,INR,NOI-M04-WH
MAR-MOV-0067,MAR-ORD-0067,SALE,1,SKU-M-155,3290,3290,2026-03-18T11:10:00.000Z,INR,DEL-M02-WH
MAR-MOV-0012,MAR-ORD-0012,SALE,1,SKU-M-281,2943.5,2943.5,2026-03-23T13:55:00.000Z,INR,DEL-M01-WH
MAR-MOV-0018,MAR-ORD-0018,SALE,1,SKU-M-276,2363,2363,2026-03-17T12:36:00.000Z,INR,DEL-M02-WH
MAR-MOV-R0054,MAR-ORD-0054,RETURN,1,SKU-M-636,2601,2601,2026-03-26T10:31:00.000Z,INR,DEL-M01-WH
MAR-MOV-0049,MAR-ORD-0049,SALE,1,SKU-M-148,2952,2952,2026-03-02T12:00:00.000Z,INR,DEL-M01-WH
MAR-MOV-0046,MAR-ORD-0046,SALE,1,SKU-M-483,2006,2006,2026-03-18T11:35:00.000Z,INR,DEL-M02-WH
MAR-MOV-R0023,MAR-ORD-0023,RETURN,1,SKU-M-277,1884,1884,2026-03-08T14:38:00.000Z,INR,GGN-M03-WH
MAR-MOV-0022,MAR-ORD-0022,SALE,1,SKU-M-567,1752,1752,2026-03-05T10:47:00.000Z,INR,DEL-M01-WH
MAR-MOV-0065,MAR-ORD-0065,SALE,1,SKU-M-795,867,867,2026-03-03T11:56:00.000Z,INR,DEL-M02-WH
MAR-MOV-0028,MAR-ORD-0028,SALE,1,SKU-M-552,2533,2533,2026-03-17T13:26:00.000Z,INR,DEL-M02-WH
MAR-MOV-0076,MAR-ORD-0076,SALE,1,SKU-M-971,1258,1258,2026-03-03T12:20:00.000Z,INR,NOI-M04-WH
MAR-MOV-0056,MAR-ORD-0056,SALE,1,SKU-M-619,2583,2583,2026-03-31T13:54:00.000Z,INR,DEL-M02-WH
MAR-MOV-0061,MAR-ORD-0061,SALE,1,SKU-M-762,408,408,2026-03-24T12:12:00.000Z,INR,GGN-M03-WH
MAR-MOV-0048,MAR-ORD-0048,SALE,1,SKU-M-818,1044,1044,2026-03-09T11:52:00.000Z,INR,NOI-M04-WH
MAR-MOV-0011,MAR-ORD-0011,SALE,1,SKU-M-117,2189.5,2189.5,2026-03-30T14:23:00.000Z,INR,DEL-M01-WH
MAR-MOV-0058,MAR-ORD-0058,SALE,1,SKU-M-702,996,996,2026-03-15T13:14:00.000Z,INR,NOI-M04-WH
MAR-MOV-0020,MAR-ORD-0020,SALE,1,SKU-M-218,1450,1450,2026-03-09T14:30:00.000Z,INR,NOI-M04-WH
MAR-MOV-0039,MAR-ORD-0039,SALE,1,SKU-M-563,493,493,2026-03-12T13:24:00.000Z,INR,GGN-M03-WH
MAR-MOV-R0053,MAR-ORD-0053,RETURN,1,SKU-M-481,4441.5,4441.5,2026-03-09T12:36:00.000Z,INR,NOI-M04-WH
MAR-MOV-0073,MAR-ORD-0073,SALE,1,SKU-M-114,3264,3264,2026-03-29T14:14:00.000Z,INR,DEL-M02-WH
MAR-MOV-R0064,MAR-ORD-0064,RETURN,1,SKU-M-253,2268,2268,2026-03-15T14:48:00.000Z,INR,DEL-M01-WH
MAR-MOV-0054,MAR-ORD-0054,SALE,1,SKU-M-636,2601,2601,2026-03-24T10:31:00.000Z,INR,DEL-M01-WH
MAR-MOV-0072,MAR-ORD-0072,SALE,1,SKU-M-899,1598,1598,2026-03-23T10:24:00.000Z,INR,DEL-M02-WH
MAR-MOV-0045,MAR-ORD-0045,SALE,1,SKU-M-790,2138.5,2138.5,2026-03-27T13:20:00.000Z,INR,DEL-M02-WH
MAR-MOV-0001,MAR-ORD-0001,SALE,1,SKU-M-532,4920,4920,2026-03-25T14:07:00.000Z,INR,GGN-M03-WH
MAR-MOV-0016,MAR-ORD-0016,SALE,1,SKU-M-939,377,377,2026-03-12T10:36:00.000Z,INR,DEL-M01-WH
MAR-MOV-0041,MAR-ORD-0041,SALE,1,SKU-M-988,2091,2091,2026-03-05T10:31:00.000Z,INR,GGN-M03-WH
MAR-MOV-0033,MAR-ORD-0033,SALE,1,SKU-M-505,2204,2204,2026-03-11T11:03:00.000Z,INR,NOI-M04-WH
MAR-MOV-0010,MAR-ORD-0010,SALE,1,SKU-M-918,1812.5,1812.5,2026-03-05T14:01:00.000Z,INR,DEL-M01-WH
MAR-MOV-0079,MAR-ORD-0079,SALE,1,SKU-M-337,4888,4888,2026-03-24T12:42:00.000Z,INR,GGN-M03-WH
MAR-MOV-0051,MAR-ORD-0051,SALE,1,SKU-M-455,1887,1887,2026-03-12T11:04:00.000Z,INR,NOI-M04-WH
MAR-MOV-0025,MAR-ORD-0025,SALE,1,SKU-M-466,623.5,623.5,2026-03-21T10:32:00.000Z,INR,GGN-M03-WH
MAR-MOV-0074,MAR-ORD-0074,SALE,1,SKU-M-626,1928.5,1928.5,2026-03-16T11:35:00.000Z,INR,DEL-M02-WH
MAR-MOV-0037,MAR-ORD-0037,SALE,1,SKU-M-491,2350,2350,2026-03-13T10:08:00.000Z,INR,DEL-M01-WH
MAR-MOV-0042,MAR-ORD-0042,SALE,1,SKU-M-142,348.5,348.5,2026-03-22T13:37:00.000Z,INR,DEL-M02-WH
MAR-MOV-0070,MAR-ORD-0070,SALE,1,SKU-M-752,1151.5,1151.5,2026-03-08T11:52:00.000Z,INR,GGN-M03-WH
MAR-MOV-0024,MAR-ORD-0024,SALE,1,SKU-M-521,3619,3619,2026-03-24T13:19:00.000Z,INR,GGN-M03-WH
MAR-MOV-0027,MAR-ORD-0027,SALE,1,SKU-M-749,1692,1692,2026-03-09T14:42:00.000Z,INR,DEL-M02-WH
MAR-MOV-0052,MAR-ORD-0052,SALE,1,SKU-M-431,2907,2907,2026-03-19T14:21:00.000Z,INR,DEL-M01-WH
MAR-MOV-0038,MAR-ORD-0038,SALE,1,SKU-M-543,5663.5,5663.5,2026-03-30T14:10:00.000Z,INR,DEL-M01-WH
MAR-MOV-0035,MAR-ORD-0035,SALE,1,SKU-M-772,493,493,2026-03-20T10:33:00.000Z,INR,GGN-M03-WH
MAR-MOV-0031,MAR-ORD-0031,SALE,1,SKU-M-366,369,369,2026-03-15T11:22:00.000Z,INR,GGN-M03-WH
MAR-MOV-0030,MAR-ORD-0030,SALE,1,SKU-M-207,2747,2747,2026-03-27T10:13:00.000Z,INR,GGN-M03-WH
MAR-MOV-0080,MAR-ORD-0080,SALE,1,SKU-M-932,3262.5,3262.5,2026-03-22T11:23:00.000Z,INR,DEL-M02-WH
MAR-MOV-0026,MAR-ORD-0026,SALE,1,SKU-M-117,3536,3536,2026-03-02T11:26:00.000Z,INR,DEL-M01-WH
MAR-MOV-0004,MAR-ORD-0004,SALE,1,SKU-M-599,2373.5,2373.5,2026-03-27T10:23:00.000Z,INR,GGN-M03-WH
MAR-MOV-0068,MAR-ORD-0068,SALE,1,SKU-M-938,1728,1728,2026-03-15T13:41:00.000Z,INR,DEL-M01-WH
MAR-MOV-0014,MAR-ORD-0014,SALE,1,SKU-M-940,1348.5,1348.5,2026-03-19T13:01:00.000Z,INR,NOI-M04-WH
MAR-MOV-0062,MAR-ORD-0062,SALE,1,SKU-M-127,3567,3567,2026-03-04T12:03:00.000Z,INR,NOI-M04-WH
MAR-MOV-0050,MAR-ORD-0050,SALE,1,SKU-M-252,4243.5,4243.5,2026-03-11T14:41:00.000Z,INR,GGN-M03-WH
MAR-MOV-0064,MAR-ORD-0064,SALE,1,SKU-M-253,2268,2268,2026-03-08T14:48:00.000Z,INR,DEL-M01-WH
MAR-MOV-0044,MAR-ORD-0044,SALE,1,SKU-M-480,1198.5,1198.5,2026-03-31T11:54:00.000Z,INR,GGN-M03-WH
MAR-MOV-0003,MAR-ORD-0003,SALE,1,SKU-M-868,758.5,758.5,2026-03-01T10:03:00.000Z,INR,GGN-M03-WH
MAR-MOV-0034,MAR-ORD-0034,SALE,1,SKU-M-990,304.5,304.5,2026-03-16T13:34:00.000Z,INR,GGN-M03-WH
MAR-MOV-0017,MAR-ORD-0017,SALE,1,SKU-M-828,2665,2665,2026-03-03T12:48:00.000Z,INR,DEL-M01-WH
MAR-MOV-0055,MAR-ORD-0055,SALE,1,SKU-M-302,2255,2255,2026-03-27T10:06:00.000Z,INR,DEL-M01-WH
MAR-MOV-0032,MAR-ORD-0032,SALE,1,SKU-M-465,3320.5,3320.5,2026-03-07T10:31:00.000Z,INR,NOI-M04-WH
MAR-MOV-0019,MAR-ORD-0019,SALE,1,SKU-M-270,1232.5,1232.5,2026-03-03T13:17:00.000Z,INR,GGN-M03-WH
MAR-MOV-0006,MAR-ORD-0006,SALE,1,SKU-M-564,2363,2363,2026-03-09T11:24:00.000Z,INR,NOI-M04-WH
MAR-MOV-0066,MAR-ORD-0066,SALE,1,SKU-M-407,3218.5,3218.5,2026-03-21T10:56:00.000Z,INR,DEL-M02-WH
MAR-MOV-R0036,MAR-ORD-0036,RETURN,1,SKU-M-105,2941,2941,2026-03-28T12:09:00.000Z,INR,DEL-M02-WH
MAR-MOV-R0013,MAR-ORD-0013,RETURN,1,SKU-M-934,1433.5,1433.5,2026-03-13T11:13:00.000Z,INR,GGN-M03-WH
MAR-MOV-0036,MAR-ORD-0036,SALE,1,SKU-M-105,2941,2941,2026-03-20T12:09:00.000Z,INR,DEL-M02-WH
MAR-MOV-0023,MAR-ORD-0023,SALE,1,SKU-M-277,1884,1884,2026-03-06T14:38:00.000Z,INR,GGN-M03-WH
MAR-MOV-0071,MAR-ORD-0071,SALE,1,SKU-M-966,1116,1116,2026-03-08T14:51:00.000Z,INR,DEL-M01-WH
MAR-MOV-0043,MAR-ORD-0043,SALE,1,SKU-M-518,2227,2227,2026-03-24T14:08:00.000Z,INR,NOI-M04-WH
MAR-MOV-0009,MAR-ORD-0009,SALE,1,SKU-M-211,4911.5,4911.5,2026-03-26T11:17:00.000Z,INR,DEL-M02-WH
MAR-MOV-0015,MAR-ORD-0015,SALE,1,SKU-M-610,1054,1054,2026-03-14T11:34:00.000Z,INR,NOI-M04-WH
MAR-MOV-0007,MAR-ORD-0007,SALE,1,SKU-M-483,2115,2115,2026-03-31T11:45:00.000Z,INR,GGN-M03-WH
MAR-MOV-0013,MAR-ORD-0013,SALE,2,SKU-M-934,1433.5,2867,2026-03-09T11:13:00.000Z,INR,GGN-M03-WH
MAR-MOV-0059,MAR-ORD-0059,SALE,1,SKU-M-296,1683,1683,2026-03-03T10:16:00.000Z,INR,DEL-M01-WH
MAR-MOV-0077,MAR-ORD-0077,SALE,1,SKU-M-777,3009,3009,2026-03-15T10:26:00.000Z,INR,DEL-M01-WH
MAR-MOV-R0001,MAR-ORD-0001,RETURN,1,SKU-M-532,4920,4920,2026-03-29T14:07:00.000Z,INR,GGN-M03-WH
MAR-MOV-0075,MAR-ORD-0075,SALE,1,SKU-M-637,527,527,2026-03-09T11:06:00.000Z,INR,GGN-M03-WH
MAR-MOV-0029,MAR-ORD-0029,SALE,1,SKU-M-983,3264,3264,2026-03-23T14:13:00.000Z,INR,GGN-M03-WH
MAR-MOV-0078,MAR-ORD-0078,SALE,1,SKU-M-698,2937.5,2937.5,2026-03-20T10:10:00.000Z,INR,DEL-M01-WH
MAR-MOV-0005,MAR-ORD-0005,SALE,1,SKU-M-420,580,580,2026-03-14T11:04:00.000Z,INR,DEL-M02-WH
MAR-MOV-0069,MAR-ORD-0069,SALE,1,SKU-M-434,4841,4841,2026-03-16T11:13:00.000Z,INR,DEL-M01-WH
MAR-MOV-0060,MAR-ORD-0060,SALE,1,SKU-M-190,544,544,2026-03-05T10:10:00.000Z,INR,GGN-M03-WH
MAR-MOV-0057,MAR-ORD-0057,SALE,1,SKU-M-965,2958,2958,2026-03-27T13:27:00.000Z,INR,DEL-M02-WH
MAR-MOV-0002,MAR-ORD-0002,SALE,1,SKU-M-320,2829,2829,2026-03-04T10:26:00.000Z,INR,DEL-M01-WH
MAR-MOV-0063,MAR-ORD-0063,SALE,1,SKU-M-581,357,357,2026-03-30T12:31:00.000Z,INR,DEL-M02-WH
MAR-MOV-0021,MAR-ORD-0021,SALE,1,SKU-M-185,2929,2929,2026-03-10T12:46:00.000Z,INR,GGN-M03-WH
MAR-MOV-0047,MAR-ORD-0047,SALE,1,SKU-M-448,3162,3162,2026-03-03T11:27:00.000Z,INR,NOI-M04-WH
MAR-MOV-0040,MAR-ORD-0040,SALE,1,SKU-M-842,2255,2255,2026-03-05T13:28:00.000Z,INR,DEL-M02-WH
MAR-MOV-R0025,MAR-ORD-0025,RETURN,1,SKU-M-466,623.5,623.5,2026-03-28T10:32:00.000Z,INR,GGN-M03-WH
MAR-MOV-0008,MAR-ORD-0008,SALE,1,SKU-M-404,2303,2303,2026-03-17T12:44:00.000Z,INR,DEL-M01-WH
