TxnID,TxnReceipt,CapturedAmount,TransactionTime,Ccy,Fee,Channel,Result
MAR-PAY-0008,MAR-ORD-0008,4900,2026-03-17T12:44:00.000Z,INR,93.1,WALLET,CAPTURED
MAR-PAY-0023,MAR-ORD-0023,7850,2026-03-06T14:38:00.000Z,INR,149.15,WALLET,CAPTURED
MAR-PAY-0018,MAR-ORD-0018,6950,2026-03-17T12:36:00.000Z,INR,132.05,NETBANKING,CAPTURED
MAR-PAY-0012,MAR-ORD-0012,10150,2026-03-23T13:55:00.000Z,INR,192.85,WALLET,CAPTURED
MAR-PAY-0006,MAR-ORD-0006,6950,2026-03-09T11:24:00.000Z,INR,132.05,UPI,CAPTURED
MAR-PAY-0037,MAR-ORD-0037,5000,2026-03-13T10:08:00.000Z,INR,95,WALLET,CAPTURED
MAR-PAY-0071,MAR-ORD-0071,4650,2026-03-08T14:51:00.000Z,INR,88.35,UPI,CAPTURED
MAR-PAY-0020,MAR-ORD-0020,5000,2026-03-09T14:30:00.000Z,INR,95,UPI,CAPTURED
MAR-PAY-0027,MAR-ORD-0027,7050,2026-03-09T14:42:00.000Z,INR,133.95,WALLET,CAPTURED
MAR-PAY-0045,MAR-ORD-0045,4550,2026-03-27T13:20:00.000Z,INR,86.45,NETBANKING,CAPTURED
MAR-PAY-0034,MAR-ORD-0034,1050,2026-03-16T13:34:00.000Z,INR,19.95,WALLET,CAPTURED
MAR-PAY-0001,MAR-ORD-0001,12000,2026-03-25T14:07:00.000Z,INR,228,WALLET,CAPTURED
MAR-PAY-0050,MAR-ORD-0050,10350,2026-03-11T14:41:00.000Z,INR,196.65,UPI,CAPTURED
MAR-PAY-0075,MAR-ORD-0075,1550,2026-03-09T11:06:00.000Z,INR,29.45,WALLET,CAPTURED
MAR-PAY-0016,MAR-ORD-0016,1300,2026-03-12T10:36:00.000Z,INR,24.7,NETBANKING,CAPTURED
MAR-PAY-0003,MAR-ORD-0003,1850,2026-03-01T10:03:00.000Z,INR,35.15,NETBANKING,CAPTURED
MAR-PAY-0055,MAR-ORD-0055,5500,2026-03-27T10:06:00.000Z,INR,104.5,NETBANKING,CAPTURED
MAR-PAY-0069,MAR-ORD-0069,10300,2026-03-16T11:13:00.000Z,INR,195.7,NETBANKING,CAPTURED
MAR-PAY-0054,MAR-ORD-0054,7650,2026-03-24T10:31:00.000Z,INR,145.35,NETBANKING,CAPTURED
MAR-PAY-0010,MAR-ORD-0010,6250,2026-03-05T14:01:00.000Z,INR,118.75,CARD,CAPTURED
MAR-PAY-0013,MAR-ORD-0013,3050,2026-03-09T11:13:00.000Z,INR,57.95,NETBANKING,CAPTURED
MAR-PAY-0044,MAR-ORD-0044,2550,2026-03-31T11:54:00.000Z,INR,48.45,WALLET,CAPTURED
MAR-PAY-0074,MAR-ORD-0074,6650,2026-03-16T11:35:00.000Z,INR,126.35,CARD,CAPTURED
MAR-PAY-0072,MAR-ORD-0072,3400,2026-03-23T10:24:00.000Z,INR,64.6,WALLET,CAPTURED
MAR-PAY-0068,MAR-ORD-0068,7200,2026-03-15T13:41:00.000Z,INR,136.8,WALLET,CAPTURED
MAR-PAY-0073,MAR-ORD-0073,9600,2026-03-29T14:14:00.000Z,INR,182.4,NETBANKING,CAPTURED
MAR-PAY-0063,MAR-ORD-0063,1050,2026-03-30T12:31:00.000Z,INR,19.95,NETBANKING,CAPTURED
MAR-PAY-0031,MAR-ORD-0031,900,2026-03-15T11:22:00.000Z,INR,17.1,WALLET,CAPTURED
PAY-AMB-March_2026-0036,MAR-ORD-0036,8650,2026-03-20T12:09:45.000Z,INR,164.35,CARD,CAPTURED
MAR-PAY-0022,MAR-ORD-0022,7300,2026-03-05T10:47:00.000Z,INR,138.7,UPI,CAPTURED
MAR-PAY-0077,MAR-ORD-0077,8850,2026-03-15T10:26:00.000Z,INR,168.15,CARD,CAPTURED
MAR-PAY-0015,MAR-ORD-0015,3100,2026-03-14T11:34:00.000Z,INR,58.9,NETBANKING,CAPTURED
MAR-PAY-0064,MAR-ORD-0064,9450,2026-03-08T14:48:00.000Z,INR,179.55,WALLET,CAPTURED
MAR-PAY-0052,MAR-ORD-0052,8550,2026-03-19T14:21:00.000Z,INR,162.45,CARD,CAPTURED
MAR-PAY-0058,MAR-ORD-0058,4150,2026-03-15T13:14:00.000Z,INR,78.85,NETBANKING,CAPTURED
MAR-PAY-0039,MAR-ORD-0039,1450,2026-03-12T13:24:00.000Z,INR,27.55,CARD,CAPTURED
MAR-PAY-0059,MAR-ORD-0059,4950,2026-03-03T10:16:00.000Z,INR,94.05,NETBANKING,CAPTURED
MAR-PAY-0042,MAR-ORD-0042,850,2026-03-22T13:37:00.000Z,INR,16.15,WALLET,CAPTURED
MAR-PAY-0056,MAR-ORD-0056,6300,2026-03-31T13:54:00.000Z,INR,119.7,NETBANKING,CAPTURED
MAR-PAY-0049,MAR-ORD-0049,12300,2026-03-02T12:00:00.000Z,INR,233.7,UPI,CAPTURED
MAR-PAY-0066,MAR-ORD-0066,7850,2026-03-21T10:56:00.000Z,INR,149.15,UPI,CAPTURED
MAR-PAY-0070,MAR-ORD-0070,2450,2026-03-08T11:52:00.000Z,INR,46.55,WALLET,CAPTURED
MAR-PAY-0062,MAR-ORD-0062,8700,2026-03-04T12:03:00.000Z,INR,165.3,NETBANKING,CAPTURED
MAR-PAY-0076,MAR-ORD-0076,3700,2026-03-03T12:20:00.000Z,INR,70.3,NETBANKING,CAPTURED
MAR-PAY-0035,MAR-ORD-0035,1450,2026-03-20T10:33:00.000Z,INR,27.55,WALLET,CAPTURED
MAR-PAY-0019,MAR-ORD-0019,4250,2026-03-03T13:17:00.000Z,INR,80.75,CARD,CAPTURED
MAR-PAY-0051,MAR-ORD-0051,5550,2026-03-12T11:04:00.000Z,INR,105.45,WALLET,CAPTURED
MAR-PAY-0079,MAR-ORD-0079,10400,2026-03-24T12:42:00.000Z,INR,197.6,NETBANKING,CAPTURED
MAR-PAY-0043,MAR-ORD-0043,6550,2026-03-24T14:08:00.000Z,INR,124.45,NETBANKING,CAPTURED
MAR-PAY-0053,MAR-ORD-0053,9450,2026-03-05T12:36:00.000Z,INR,179.55,CARD,CAPTURED
MAR-PAY-0032,MAR-ORD-0032,11450,2026-03-07T10:31:00.000Z,INR,217.55,WALLET,CAPTURED
MAR-PAY-0025,MAR-ORD-0025,2150,2026-03-21T10:32:00.000Z,INR,40.85,WALLET,CAPTURED
MAR-PAY-0030,MAR-ORD-0030,6700,2026-03-27T10:13:00.000Z,INR,127.3,CARD,CAPTURED
MAR-PAY-0065,MAR-ORD-0065,2550,2026-03-03T11:56:00.000Z,INR,48.45,WALLET,CAPTURED
MAR-PAY-0028,MAR-ORD-0028,7450,2026-03-17T13:26:00.000Z,INR,141.55,WALLET,CAPTURED
MAR-PAY-0021,MAR-ORD-0021,10100,2026-03-10T12:46:00.000Z,INR,191.9,CARD,CAPTURED
MAR-PAY-0061,MAR-ORD-0061,1200,2026-03-24T12:12:00.000Z,INR,22.8,WALLET,CAPTURED
MAR-PAY-0026,MAR-ORD-0026,10400,2026-03-02T11:26:00.000Z,INR,197.6,WALLET,CAPTURED
MAR-PAY-0038,MAR-ORD-0038,12050,2026-03-30T14:10:00.000Z,INR,228.95,UPI,CAPTURED
MAR-PAY-0060,MAR-ORD-0060,1600,2026-03-05T10:10:00.000Z,INR,30.4,UPI,CAPTURED
MAR-PAY-0007,MAR-ORD-0007,4500,2026-03-31T11:45:00.000Z,INR,85.5,NETBANKING,CAPTURED
MAR-PAY-0014,MAR-ORD-0014,4650,2026-03-19T13:01:00.000Z,INR,88.35,NETBANKING,CAPTURED
MAR-PAY-0078,MAR-ORD-0078,6250,2026-03-20T10:10:00.000Z,INR,118.75,CARD,CAPTURED
MAR-PAY-0047,MAR-ORD-0047,9300,2026-03-03T11:27:00.000Z,INR,176.7,CARD,CAPTURED
MAR-PAY-0004,MAR-ORD-0004,5050,2026-03-27T10:23:00.000Z,INR,95.95,CARD,CAPTURED
MAR-PAY-0033,MAR-ORD-0033,7600,2026-03-11T11:03:00.000Z,INR,144.4,UPI,CAPTURED
MAR-PAY-0057,MAR-ORD-0057,8700,2026-03-27T13:27:00.000Z,INR,165.3,UPI,CAPTURED
MAR-PAY-0040,MAR-ORD-0040,5500,2026-03-05T13:28:00.000Z,INR,104.5,NETBANKING,CAPTURED
MAR-PAY-0046,MAR-ORD-0046,5900,2026-03-18T11:35:00.000Z,INR,112.1,UPI,CAPTURED
MAR-PAY-0011,MAR-ORD-0011,7550,2026-03-30T14:23:00.000Z,INR,143.45,CARD,CAPTURED
MAR-PAY-0080,MAR-ORD-0080,11250,2026-03-22T11:23:00.000Z,INR,213.75,CARD,CAPTURED
MAR-PAY-0029,MAR-ORD-0029,9600,2026-03-23T14:13:00.000Z,INR,182.4,WALLET,CAPTURED
MAR-PAY-0036,MAR-ORD-0036,8650,2026-03-20T12:09:00.000Z,INR,164.35,CARD,CAPTURED
MAR-PAY-0067,MAR-ORD-0067,7000,2026-03-18T11:10:00.000Z,INR,133,NETBANKING,CAPTURED
MAR-PAY-0017,MAR-ORD-0017,6500,2026-03-03T12:48:00.000Z,INR,123.5,NETBANKING,CAPTURED
MAR-PAY-0024,MAR-ORD-0024,7700,2026-03-24T13:19:00.000Z,INR,146.3,NETBANKING,CAPTURED
MAR-PAY-0048,MAR-ORD-0048,4350,2026-03-09T11:52:00.000Z,INR,82.65,UPI,CAPTURED
MAR-PAY-0002,MAR-ORD-0002,6900,2026-03-04T10:26:00.000Z,INR,131.1,UPI,CAPTURED
MAR-PAY-0009,MAR-ORD-0009,10450,2026-03-26T11:17:00.000Z,INR,198.55,NETBANKING,CAPTURED
MAR-PAY-0041,MAR-ORD-0041,6150,2026-03-05T10:31:00.000Z,INR,116.85,CARD,CAPTURED
MAR-PAY-0005,MAR-ORD-0005,2000,2026-03-14T11:04:00.000Z,INR,38,NETBANKING,CAPTURED
