DocID,TicketID,DocAmount,DocCreatedAt,CURRENCY,DocClass,DocStatus
MAY-INV-0037,MAY-ORD-0037,13000,2026-05-05T10:27:00.000Z,INR,SALE,ACTIVE
MAY-INV-0027,MAY-ORD-0027,13000,2026-05-18T12:45:00.000Z,INR,SALE,ACTIVE
MAY-INV-0053,MAY-ORD-0053,3500,2026-05-12T08:32:00.000Z,INR,SALE,ACTIVE
MAY-INV-0057,MAY-ORD-0057,1100,2026-05-11T12:22:00.000Z,INR,SALE,ACTIVE
MAY-INV-0003,MAY-ORD-0003,14600,2026-05-20T10:05:00.000Z,INR,SALE,ACTIVE
MAY-INV-0023,MAY-ORD-0023,5800,2026-05-05T10:49:00.000Z,INR,SALE,ACTIVE
MAY-INV-0001,MAY-ORD-0001,10900,2026-05-14T12:14:00.000Z,INR,SALE,ACTIVE
MAY-INV-0014,MAY-ORD-0014,6100,2026-05-02T11:55:00.000Z,INR,SALE,ACTIVE
MAY-INV-0042,MAY-ORD-0042,7300,2026-05-21T09:51:00.000Z,INR,SALE,ACTIVE
MAY-INV-0025,MAY-ORD-0025,5400,2026-05-05T12:37:00.000Z,INR,SALE,ACTIVE
MAY-INV-0071,MAY-ORD-0071,11100,2026-05-26T08:28:00.000Z,INR,SALE,ACTIVE
MAY-INV-0069,MAY-ORD-0069,15500,2026-05-12T12:52:00.000Z,INR,SALE,ACTIVE
MAY-INV-R0047,MAY-ORD-0047,-3150,2026-05-15T10:39:00.000Z,INR,REVERSAL,REVERSED
MAY-INV-0059,MAY-ORD-0059,9200,2026-05-08T10:04:00.000Z,INR,SALE,ACTIVE
MAY-INV-0030,MAY-ORD-0030,14900,2026-05-16T11:15:00.000Z,INR,SALE,ACTIVE
MAY-INV-0002,MAY-ORD-0002,7200,2026-05-31T09:33:00.000Z,INR,SALE,ACTIVE
MAY-INV-R0009,MAY-ORD-0009,-2500,2026-05-22T09:42:00.000Z,INR,REVERSAL,REVERSED
MAY-INV-0063,MAY-ORD-0063,2500,2026-05-11T09:47:00.000Z,INR,SALE,ACTIVE
MAY-INV-0017,MAY-ORD-0017,8100,2026-05-06T10:38:00.000Z,INR,SALE,ACTIVE
