CaptureID,TicketID,CaptureAmount,CaptureTime,CURRENCY,GatewayCharge,Instrument,AuthCode
MAY-PAY-0045,MAY-ORD-0045,2800,2026-05-01T08:31:00.000Z,INR,61.6,UPI,00
MAY-PAY-0023,MAY-ORD-0023,5800,2026-05-05T10:49:00.000Z,INR,127.6,UPI,00
MAY-PAY-0001,MAY-ORD-0001,10900,2026-05-14T12:14:00.000Z,INR,239.8,WALLET,00
MAY-PAY-0003,MAY-ORD-0003,14600,2026-05-20T10:05:00.000Z,INR,321.2,UPI,00
MAY-PAY-0049,MAY-ORD-0049,4100,2026-05-07T09:17:00.000Z,INR,90.2,UPI,00
MAY-PAY-0007,MAY-ORD-0007,8100,2026-05-12T08:19:00.000Z,INR,178.2,WALLET,00
MAY-PAY-0067,MAY-ORD-0067,13300,2026-05-28T11:13:00.000Z,INR,292.6,UPI,00
MAY-PAY-0026,MAY-ORD-0026,3400,2026-05-18T11:39:00.000Z,INR,74.8,CARD,00
MAY-PAY-0021,MAY-ORD-0021,11700,2026-05-18T10:31:00.000Z,INR,257.4,CARD,00
MAY-PAY-0027,MAY-ORD-0027,13000,2026-05-18T12:45:00.000Z,INR,286,UPI,00
MAY-PAY-0052,MAY-ORD-0052,3100,2026-05-20T10:36:00.000Z,INR,68.2,WALLET,00
MAY-PAY-0002,MAY-ORD-0002,7200,2026-05-31T09:33:00.000Z,INR,158.4,NETBANKING,00
MAY-PAY-0056,MAY-ORD-0056,11000,2026-05-06T11:55:00.000Z,INR,242,CARD,00
MAY-PAY-0060,MAY-ORD-0060,7700,2026-05-25T12:06:00.000Z,INR,169.4,WALLET,00
MAY-PAY-0019,MAY-ORD-0019,11100,2026-05-16T10:15:00.000Z,INR,244.2,NETBANKING,00
MAY-PAY-0016,MAY-ORD-0016,10100,2026-05-10T08:32:00.000Z,INR,222.2,CARD,00
MAY-PAY-0072,MAY-ORD-0072,5700,2026-05-03T10:28:00.000Z,INR,125.4,WALLET,00
MAY-PAY-0015,MAY-ORD-0015,900,2026-05-26T08:45:00.000Z,INR,19.8,CARD,00
MAY-PAY-0062,MAY-ORD-0062,7500,2026-05-30T12:37:00.000Z,INR,165,NETBANKING,00
MAY-PAY-0043,MAY-ORD-0043,14600,2026-05-09T10:59:00.000Z,INR,321.2,NETBANKING,00
MAY-PAY-0012,MAY-ORD-0012,7300,2026-05-22T09:17:00.000Z,INR,160.6,WALLET,00
MAY-PAY-0044,MAY-ORD-0044,4400,2026-05-13T09:17:00.000Z,INR,96.8,CARD,00
MAY-PAY-0035,MAY-ORD-0035,5700,2026-05-07T08:57:00.000Z,INR,125.4,CARD,00
MAY-PAY-0059,MAY-ORD-0059,9200,2026-05-08T10:04:00.000Z,INR,202.4,NETBANKING,00
MAY-PAY-0046,MAY-ORD-0046,13800,2026-05-03T12:04:00.000Z,INR,303.6,NETBANKING,00
MAY-PAY-0036,MAY-ORD-0036,7100,2026-05-30T11:34:00.000Z,INR,156.2,CARD,00
MAY-PAY-0037,MAY-ORD-0037,13000,2026-05-05T10:27:00.000Z,INR,286,CARD,00
MAY-PAY-0068,MAY-ORD-0068,5600,2026-05-01T12:23:00.000Z,INR,123.2,CARD,00
MAY-PAY-0057,MAY-ORD-0057,1100,2026-05-11T12:22:00.000Z,INR,24.2,WALLET,00
MAY-PAY-0010,MAY-ORD-0010,1100,2026-05-22T09:41:00.000Z,INR,24.2,WALLET,00
MAY-PAY-0009,MAY-ORD-0009,2500,2026-05-18T09:42:00.000Z,INR,55,WALLET,00
MAY-PAY-0014,MAY-ORD-0014,6100,2026-05-02T11:55:00.000Z,INR,134.2,NETBANKING,00
MAY-PAY-0018,MAY-ORD-0018,7000,2026-05-18T12:51:00.000Z,INR,154,WALLET,00
MAY-PAY-0041,MAY-ORD-0041,4700,2026-05-07T08:56:00.000Z,INR,103.4,NETBANKING,00
MAY-PAY-0013,MAY-ORD-0013,10300,2026-05-26T09:41:00.000Z,INR,226.6,UPI,00
MAY-PAY-0034,MAY-ORD-0034,14400,2026-05-03T10:42:00.000Z,INR,316.8,NETBANKING,00
MAY-PAY-0065,MAY-ORD-0065,6300,2026-05-27T08:31:00.000Z,INR,138.6,WALLET,00
MAY-PAY-0058,MAY-ORD-0058,14200,2026-05-30T12:26:00.000Z,INR,312.4,WALLET,00
MAY-PAY-0008,MAY-ORD-0008,4500,2026-05-30T08:11:00.000Z,INR,99,CARD,00
MAY-PAY-0047,MAY-ORD-0047,9000,2026-05-09T10:39:00.000Z,INR,198,CARD,00
MAY-PAY-0004,MAY-ORD-0004,2700,2026-05-28T09:22:00.000Z,INR,59.4,NETBANKING,00
MAY-PAY-0055,MAY-ORD-0055,5000,2026-05-22T11:06:00.000Z,INR,110,WALLET,00
MAY-PAY-0039,MAY-ORD-0039,2300,2026-05-21T11:03:00.000Z,INR,50.6,WALLET,00
MAY-PAY-0070,MAY-ORD-0070,14300,2026-05-09T12:36:00.000Z,INR,314.6,UPI,00
MAY-PAY-0030,MAY-ORD-0030,14900,2026-05-16T11:15:00.000Z,INR,327.8,CARD,00
MAY-PAY-D0006,MAY-ORD-0006,11200,2026-05-05T08:44:45.000Z,INR,246.4,UPI,00
MAY-PAY-0069,MAY-ORD-0069,15500,2026-05-12T12:52:00.000Z,INR,341,WALLET,00
MAY-PAY-0063,MAY-ORD-0063,2500,2026-05-11T09:47:00.000Z,INR,55,NETBANKING,00
MAY-PAY-0051,MAY-ORD-0051,9800,2026-05-17T10:20:00.000Z,INR,215.6,UPI,00
MAY-PAY-0022,MAY-ORD-0022,9300,2026-05-03T08:05:00.000Z,INR,204.6,WALLET,00
MAY-PAY-0028,MAY-ORD-0028,10400,2026-05-10T08:43:00.000Z,INR,228.8,WALLET,00
MAY-PAY-0071,MAY-ORD-0071,11100,2026-05-26T08:28:00.000Z,INR,244.2,UPI,00
MAY-PAY-0011,MAY-ORD-0011,15000,2026-05-29T09:04:00.000Z,INR,330,WALLET,00
MAY-PAY-0025,MAY-ORD-0025,5400,2026-05-05T12:37:00.000Z,INR,118.8,UPI,00
MAY-PAY-0053,MAY-ORD-0053,3500,2026-05-12T08:32:00.000Z,INR,77,UPI,00
MAY-PAY-0040,MAY-ORD-0040,2400,2026-05-15T10:59:00.000Z,INR,52.8,UPI,00
MAY-PAY-0042,MAY-ORD-0042,7300,2026-05-21T09:51:00.000Z,INR,160.6,UPI,00
MAY-PAY-0020,MAY-ORD-0020,2100,2026-05-04T09:35:00.000Z,INR,46.2,UPI,00
MAY-PAY-0024,MAY-ORD-0024,12800,2026-05-31T10:40:00.000Z,INR,281.6,WALLET,00
MAY-PAY-0017,MAY-ORD-0017,8100,2026-05-06T10:38:00.000Z,INR,178.2,WALLET,00
MAY-PAY-0029,MAY-ORD-0029,3200,2026-05-26T08:11:00.000Z,INR,70.4,WALLET,00
