StockTxn,TicketID,StockAction,UnitsMoved,ProductSKU,Cost,ReturnedValue,StockTime,CURRENCY,ProductLabel
MAY-MOV-0004,MAY-ORD-0004,SALE,1,SKU-MY-290,783,783,2026-05-28T09:22:00.000Z,INR,Sellable item
MAY-MOV-0018,MAY-ORD-0018,SALE,1,SKU-MY-970,2030,2030,2026-05-18T12:51:00.000Z,INR,Sellable item
MAY-MOV-0060,MAY-ORD-0060,SALE,1,SKU-MY-551,2233,2233,2026-05-25T12:06:00.000Z,INR,Sellable item
MAY-MOV-R0009,MAY-ORD-0009,RETURN,1,SKU-MY-879,1175,1175,2026-05-22T09:42:00.000Z,INR,Returned item
MAY-MOV-0007,MAY-ORD-0007,SALE,1,SKU-MY-163,3321,3321,2026-05-12T08:19:00.000Z,INR,Sellable item
MAY-MOV-0032,MAY-ORD-0032,SALE,1,SKU-MY-911,2584,2584,2026-05-21T12:42:00.000Z,INR,Sellable item
MAY-MOV-0028,MAY-ORD-0028,SALE,1,SKU-MY-521,4264,4264,2026-05-10T08:43:00.000Z,INR,Sellable item
MAY-MOV-0066,MAY-ORD-0066,SALE,1,SKU-MY-209,1558,1558,2026-05-18T10:27:00.000Z,INR,Sellable item
MAY-MOV-0016,MAY-ORD-0016,SALE,1,SKU-MY-250,4141,4141,2026-05-10T08:32:00.000Z,INR,Sellable item
MAY-MOV-0072,MAY-ORD-0072,SALE,1,SKU-MY-844,1653,1653,2026-05-03T10:28:00.000Z,INR,Sellable item
MAY-MOV-0038,MAY-ORD-0038,SALE,1,SKU-MY-383,1392,1392,2026-05-06T11:09:00.000Z,INR,Sellable item
MAY-MOV-0002,MAY-ORD-0002,SALE,1,SKU-MY-349,2448,2448,2026-05-31T09:33:00.000Z,INR,Sellable item
MAY-MOV-0005,MAY-ORD-0005,SALE,1,SKU-MY-755,1896,1896,2026-05-16T10:38:00.000Z,INR,Sellable item
MAY-MOV-0012,MAY-ORD-0012,SALE,1,SKU-MY-753,2117,2117,2026-05-22T09:17:00.000Z,INR,Sellable item
MAY-MOV-0045,MAY-ORD-0045,SALE,1,SKU-MY-761,672,672,2026-05-01T08:31:00.000Z,INR,Sellable item
MAY-MOV-0019,MAY-ORD-0019,SALE,1,SKU-MY-657,3774,3774,2026-05-16T10:15:00.000Z,INR,Sellable item
MAY-MOV-R0057,MAY-ORD-0057,RETURN,1,SKU-MY-209,451,451,2026-05-18T12:22:00.000Z,INR,Returned item
